rank,name,year,category,damage_bn_1995,pre1925_flag
1,SE Florida/Alabama (Great Miami),1926,4,72.303,0
2,Andrew (SE FL/LA),1992,4,33.094,0
3,N Texas (Galveston),1900,4,26.619,1
4,N Texas (Galveston),1915,4,22.602,1
5,SW Florida,1944,3,16.864,0
6,New England,1938,3,16.629,0
7,SE Florida/Lake Okeechobee,1928,4,13.795,0
8,Betsy (SE FL/LA),1965,3,12.434,0
9,Donna (FL/Eastern US),1960,4,12.048,0
10,Camille (MS/LA/VA),1969,5,10.965,0
11,Agnes (NW FL/NE US),1972,1,10.705,0
12,Diane (NE US),1955,1,10.232,0
13,Hugo (SC),1989,4,9.380,0
14,Carol (NE US),1954,3,9.066,0
15,SE Florida/Louisiana/Alabama,1947,4,8.308,0
16,Carla (N & Central TX),1961,4,7.069,0
17,Hazel (SC/NC),1954,4,7.039,0
18,NE US,1944,3,6.536,0
19,SE Florida,1945,3,6.313,0
20,Frederic (AL/MS),1979,3,6.293,0
21,SE Florida,1949,3,5.838,0
22,S Texas,1919,4,5.368,1
23,Alicia (N TX),1983,3,4.056,0
24,Celia (S TX),1970,3,3.338,0
25,Dora (NE FL),1964,2,3.108,0
26,Opal (NW FL/AL),1995,3,3.000,0
27,Cleo (SE FL),1964,2,2.435,0
28,Juan (LA),1985,1,2.399,0
29,Audrey (LA/N TX),1957,4,2.396,0
30,King (SE FL),1950,3,2.266,0
