experiment	metric	value
E0001	val_auc	0.8062007637260208
E0001	val_pr_auc	0.6563484477254352
E0001	val_logloss	0.4309735905240429
E0001	val_brier	0.13200960633730482
E0001	val_lift_top10	3.267634854771784
E0001	val_best_threshold	0.38
E0001	val_f1_at_best	0.5881720430107527
E0001	wall_seconds	0.04644131660461426
E0001	min_proba_std	0.21659512805133624
E0001	proba_range	0.9823696270434258
E0001	proba_unique_values	4000
E0001	model_path	models/best_primary_E0001_0.806201_f54e47905e2b.joblib
E0001	bayes_auc	0.884116
E0001	gap_to_ideal	0.077916
E0001	gap_in_floors	10.4555
E0002	val_auc	0.8357852382748647
E0002	val_pr_auc	0.6916170558614196
E0002	val_logloss	0.3986318074256723
E0002	val_brier	0.12283919758069275
E0002	val_lift_top10	3.4336099585062243
E0002	val_best_threshold	0.34
E0002	val_f1_at_best	0.6228835300153925
E0002	wall_seconds	0.04269099235534668
E0002	min_proba_std	0.23977496780184931
E0002	proba_range	0.9981171241912492
E0002	proba_unique_values	4000
E0002	model_path	models/best_primary_E0002_0.835785_60b28d753b36.joblib
E0002	bayes_auc	0.884116
E0002	gap_to_ideal	0.048331
E0002	gap_in_floors	6.4856
E0002	reference_auc	0.806201
E0002	delta_vs_reference	0.029584
E0002	delta_in_floors	3.9699
E0003	val_auc	0.871390478845828
E0003	val_pr_auc	0.752534551161383
E0003	val_logloss	0.3551653093490894
E0003	val_brier	0.10933675102914936
E0003	val_lift_top10	3.703319502074689
E0003	val_best_threshold	0.32
E0003	val_f1_at_best	0.6733972741039879
E0003	wall_seconds	0.6471230983734131
E0003	min_proba_std	0.2683334858654542
E0003	proba_range	0.9752730709316231
E0003	proba_unique_values	4000
E0003	model_path	models/best_primary_E0003_0.87139_f322ed32c8bb.joblib
E0003	bayes_auc	0.884116
E0003	gap_to_ideal	0.012726
E0003	gap_in_floors	1.7077
E0003	reference_auc	0.835785
E0003	delta_vs_reference	0.035605
E0003	delta_in_floors	4.7779
E0004	val_auc	0.8580491911720489
E0004	val_pr_auc	0.7309200472900206
E0004	val_logloss	1.0241016004363226
E0004	val_brier	0.14365797578023404
E0004	val_lift_top10	3.6099585062240664
E0004	val_best_threshold	0.03
E0004	val_f1_at_best	0.6484848484848484
E0004	wall_seconds	18.4076087474823
E0004	min_proba_std	0.3621793944108735
E0004	proba_range	0.9999999999942123
E0004	proba_unique_values	4000
E0004	bayes_auc	0.884116
E0004	gap_to_ideal	0.026067
E0004	gap_in_floors	3.4980
E0004	reference_auc	0.871390
E0004	delta_vs_reference	-0.013341
E0004	delta_in_floors	-1.7903
DRYRUN	val_auc	0.871390478845828
DRYRUN	val_pr_auc	0.752534551161383
DRYRUN	val_logloss	0.3551653093490894
DRYRUN	val_brier	0.10933675102914936
DRYRUN	val_lift_top10	3.703319502074689
DRYRUN	val_best_threshold	0.32
DRYRUN	val_f1_at_best	0.6733972741039879
DRYRUN	wall_seconds	1.0053350925445557
DRYRUN	min_proba_std	0.2683334858654542
DRYRUN	proba_range	0.9752730709316231
DRYRUN	proba_unique_values	4000
DRYRUN	bayes_auc	0.884116
DRYRUN	gap_to_ideal	0.012726
DRYRUN	gap_in_floors	1.7077
DRYRUN	reference_auc	0.835785
DRYRUN	delta_vs_reference	0.035605
DRYRUN	delta_in_floors	4.7779
E0005	val_auc	0.8809492023115466
E0005	val_pr_auc	0.7570432863768353
E0005	val_logloss	0.3478076193195693
E0005	val_brier	0.10769983366408079
E0005	val_lift_top10	3.751295336787565
E0005	val_best_threshold	0.26
E0005	val_f1_at_best	0.6747663551401869
E0005	wall_seconds	1.1528639793395996
E0005	min_proba_std	0.2643284249185905
E0005	proba_range	0.9756281786027888
E0005	proba_unique_values	4000
E0005	model_path	models/best_primary_E0005_0.880949_32d175d10fbb.joblib
E0005	bayes_auc	0.893469
E0005	gap_to_ideal	0.012520
E0005	gap_in_floors	1.6800
E0005	reference_auc	0.846528
E0005	delta_vs_reference	0.034421
E0005	delta_in_floors	4.6190
