experiment	metric	value
1	wall_seconds	1.265699863433838
1	bias_mu	+0.00037
1	se_mu	0.00177
1	bias_sigma	-0.00043
1	se_sigma	0.00130
1	premium_err_pct_sd	3.0325
1	gate_mu_ok	True
1	gate_sigma_ok	True
1	truth_premium	25340.87
1	reps	200
1	n_per_rep	2000
2	wall_seconds	24.625269174575806
2	reps	1000
2	n_per_rep	2000
2	truth_premium	25340.87
2	p_grid	0.05-0.95x19
2	mtm_trim	0.1
2	prem_err_mean_mle	4.1164
2	prem_err_sd_mle	3.0680
2	prem_bias_pct_mle	+0.1686
2	rmse_mu_mle	0.02422
2	rmse_sigma_mle	0.01758
2	wall_seconds_mle	5.88
2	prem_err_mean_qls_ols	4.4587
2	prem_err_sd_qls_ols	3.3567
2	prem_bias_pct_qls_ols	+0.0334
2	rmse_mu_qls_ols	0.02453
2	rmse_sigma_qls_ols	0.01960
2	wall_seconds_qls_ols	5.99
2	prem_err_mean_qls_gls	4.6236
2	prem_err_sd_qls_gls	3.4950
2	prem_bias_pct_qls_gls	+0.1025
2	rmse_mu_qls_gls	0.02489
2	rmse_sigma_qls_gls	0.02051
2	wall_seconds_qls_gls	6.53
2	prem_err_mean_mtm	5.0158
2	prem_err_sd_mtm	3.9011
2	prem_bias_pct_mtm	+0.4633
2	rmse_mu_mtm	0.02514
2	rmse_sigma_mtm	0.02294
2	wall_seconds_mtm	5.95
2	rel_eff_premium_qls_ols_vs_mle	0.8462
2	rel_eff_sigma_qls_ols_vs_mle	0.8049
2	err_ratio_qls_ols_vs_mle	1.0832
2	rel_eff_premium_qls_gls_vs_mle	0.7846
2	rel_eff_sigma_qls_gls_vs_mle	0.7352
2	err_ratio_qls_gls_vs_mle	1.1232
2	rel_eff_premium_mtm_vs_mle	0.6528
2	rel_eff_sigma_mtm_vs_mle	0.5874
2	err_ratio_mtm_vs_mle	1.2185
3	wall_seconds	62.44532370567322
3	reps_per_cell	500
3	n_per_rep	2000
3	cells	20
3	qls_grid	0.15-0.85x19 (trimmed)
3	mtm_trim	0.1
3	truth_premium	25340.87
3	prem_err_mle_eps0	4.2080
