trial	params_json	primary_metric	wall_seconds	status
1	{"eps":0.0,"estimator":"mle","n":2000,"reps":500}	4.208017	3.038	ok
2	{"eps":0.01,"estimator":"mle","n":2000,"reps":500}	21.281143	2.991	ok
3	{"eps":0.02,"estimator":"mle","n":2000,"reps":500}	45.470463	2.803	ok
4	{"eps":0.05,"estimator":"mle","n":2000,"reps":500}	136.594331	2.486	ok
5	{"eps":0.1,"estimator":"mle","n":2000,"reps":500}	352.192851	2.269	ok
6	{"eps":0.0,"estimator":"qls_ols","n":2000,"reps":500}	5.419921	3.163	ok
7	{"eps":0.01,"estimator":"qls_ols","n":2000,"reps":500}	6.253123	3.186	ok
8	{"eps":0.02,"estimator":"qls_ols","n":2000,"reps":500}	8.576375	3.199	ok
9	{"eps":0.05,"estimator":"qls_ols","n":2000,"reps":500}	20.324804	3.120	ok
10	{"eps":0.1,"estimator":"qls_ols","n":2000,"reps":500}	49.969892	2.920	ok
11	{"eps":0.0,"estimator":"qls_gls","n":2000,"reps":500}	5.518623	3.489	ok
12	{"eps":0.01,"estimator":"qls_gls","n":2000,"reps":500}	6.319901	3.548	ok
13	{"eps":0.02,"estimator":"qls_gls","n":2000,"reps":500}	8.555278	3.576	ok
14	{"eps":0.05,"estimator":"qls_gls","n":2000,"reps":500}	20.027829	3.559	ok
15	{"eps":0.1,"estimator":"qls_gls","n":2000,"reps":500}	48.954644	3.338	ok
16	{"eps":0.0,"estimator":"mtm","n":2000,"reps":500}	5.056296	3.201	ok
17	{"eps":0.01,"estimator":"mtm","n":2000,"reps":500}	6.247458	3.233	ok
18	{"eps":0.02,"estimator":"mtm","n":2000,"reps":500}	9.131282	3.209	ok
19	{"eps":0.05,"estimator":"mtm","n":2000,"reps":500}	22.741977	3.115	ok
20	{"eps":0.1,"estimator":"mtm","n":2000,"reps":500}	57.554693	2.933	ok
