trial	params_json	primary_metric	wall_seconds	status
1	{"eps":0.0,"estimator":"mle_naive","n":2000,"reps":500}	33.907219	3.413	ok
2	{"eps":0.01,"estimator":"mle_naive","n":2000,"reps":500}	20.039114	3.249	ok
3	{"eps":0.02,"estimator":"mle_naive","n":2000,"reps":500}	8.228833	3.328	ok
4	{"eps":0.05,"estimator":"mle_naive","n":2000,"reps":500}	57.525304	3.116	ok
5	{"eps":0.1,"estimator":"mle_naive","n":2000,"reps":500}	188.860099	2.636	ok
6	{"eps":0.0,"estimator":"mle_tc","n":2000,"reps":500}	23.313956	15.362	ok
7	{"eps":0.01,"estimator":"mle_tc","n":2000,"reps":500}	17.686248	16.294	ok
8	{"eps":0.02,"estimator":"mle_tc","n":2000,"reps":500}	12.811034	17.402	ok
9	{"eps":0.05,"estimator":"mle_tc","n":2000,"reps":500}	7.850496	17.258	ok
10	{"eps":0.1,"estimator":"mle_tc","n":2000,"reps":500}	18.558538	16.466	ok
11	{"eps":0.0,"estimator":"qls_window_trim","n":2000,"reps":500}	31.473212	4.364	ok
12	{"eps":0.01,"estimator":"qls_window_trim","n":2000,"reps":500}	29.213576	4.379	ok
13	{"eps":0.02,"estimator":"qls_window_trim","n":2000,"reps":500}	26.905454	4.379	ok
14	{"eps":0.05,"estimator":"qls_window_trim","n":2000,"reps":500}	18.783886	4.375	ok
15	{"eps":0.1,"estimator":"qls_window_trim","n":2000,"reps":500}	9.845263	4.276	ok
16	{"eps":0.0,"estimator":"mtm","n":2000,"reps":500}	42.303067	3.731	ok
17	{"eps":0.01,"estimator":"mtm","n":2000,"reps":500}	40.526576	3.678	ok
18	{"eps":0.02,"estimator":"mtm","n":2000,"reps":500}	38.606007	3.547	ok
19	{"eps":0.05,"estimator":"mtm","n":2000,"reps":500}	31.943861	3.420	ok
20	{"eps":0.1,"estimator":"mtm","n":2000,"reps":500}	16.634959	3.538	ok
