experiment	metric	value
E0001	wall_seconds	0.03203105926513672
E0001	gap_std_across_reps	1.2411075052610203
E0001	gap_median	0.7679323500976418
E0001	gap_worst	4.4501120324261985
E0001	n_reps	40.0
E0002	wall_seconds	0.0329129695892334
E0002	gap_std_across_reps	1.2411075052610203
E0002	gap_median	0.7679323500976418
E0002	gap_worst	4.4501120324261985
E0002	n_reps	40.0
E0003	wall_seconds	0.03457188606262207
E0003	gap_std_across_reps	0.47938054550268105
E0003	gap_median	0.19517641069104902
E0003	gap_worst	1.7759956067461748
E0003	n_reps	40.0
E0004	wall_seconds	0.024458885192871094
E0004	gap_std_across_reps	7.049937868433346e+196
E0004	gap_median	1.2580735249143802e+137
E0004	gap_worst	4.458859212230798e+197
E0004	n_reps	40.0
E0006	wall_seconds	0.02379918098449707
E0006	gap_std_across_reps	1.1704563274077045e+179
E0006	gap_median	8.199165801289529e+94
E0006	gap_worst	7.402621377628238e+179
E0006	n_reps	40.0
E0007	wall_seconds	0.03464007377624512
E0007	gap_std_across_reps	0.28835824307039304
E0007	gap_median	0.23169437717649316
E0007	gap_worst	1.01524050029377
E0007	n_reps	40.0
