experiment	metric	value
E0001	wall_seconds	1.8827829360961914
E0001	calibration_ratio	1.0216178666329916
E0001	n_eval_rows	135603.0
E0001	eval_claims	5175.0
E0002	wall_seconds	4.129022121429443
E0002	calibration_ratio	1.0206946124872094
E0002	n_eval_rows	135603.0
E0002	eval_claims	5175.0
E0003	wall_seconds	3.188526153564453
E0003	calibration_ratio	1.0148587723803848
E0003	n_eval_rows	135603.0
E0003	eval_claims	5175.0
E0004	wall_seconds	2.2106242179870605
E0004	calibration_ratio	1.0128291324440328
E0004	n_eval_rows	135603.0
E0004	eval_claims	5175.0
E0005	wall_seconds	3.459771156311035
E0005	calibration_ratio	1.0148587723803848
E0005	n_eval_rows	135603.0
E0005	eval_claims	5175.0
