experiment	metric	value
E0001	wall_seconds	0.0022361278533935547
E0001	identity_stats_verified	12
E0001	identity_max_abs_deviation	3.5299737664473696e-05
E0001	identity_sha256_ok	1
E0001	max_abs_param_deviation	0.004890479783545398
E0001	max_abs_w_deviation	0.4939943004986853
E0001	max_abs_p_deviation	0.059403995101279694
E0001	cell	0.05_0.95/lognormal
E0001	mu_hat	22.788709732599234
E0001	sigma_hat	0.8248904797835453
E0001	published_mu	22.79
E0001	published_sigma	0.82
E0001	d_mu	0.0012902674007655435
E0001	d_sigma	0.004890479783545398
E0001	w_statistic	4.726005699501314
E0001	w_df	6
E0001	w_pvalue	0.5794039951012797
E0001	published_w	5.22
E0001	published_p_w	0.52
E0001	sigma_star_cond	34.97906048259985
E0001	within_reporting_resolution	1
E0001	k	8
E0001	mode	anchor
E0001	convention	hazen
