trial	params_json	primary_metric	wall_seconds	status	error
1	{"draw":1,"family":"anchor_lda4","seed":20260828001}	NA	0.003	crash	"ValueError: Seed must be between 0 and 2**32 - 1"
2	{"draw":1,"family":"logit","seed":20260828001}	NA	0.000	crash	"ValueError: Seed must be between 0 and 2**32 - 1"
3	{"draw":1,"family":"knn7","seed":20260828001}	NA	0.000	crash	"ValueError: Seed must be between 0 and 2**32 - 1"
4	{"draw":1,"family":"svm_rbf","seed":20260828001}	NA	0.000	crash	"ValueError: Seed must be between 0 and 2**32 - 1"
5	{"draw":1,"family":"hgbt","seed":20260828001}	NA	0.000	crash	"ValueError: Seed must be between 0 and 2**32 - 1"
6	{"draw":1,"family":"lda_petal","seed":20260828001}	NA	0.000	crash	"ValueError: Seed must be between 0 and 2**32 - 1"
7	{"draw":1,"family":"lda_sepal","seed":20260828001}	NA	0.000	crash	"ValueError: Seed must be between 0 and 2**32 - 1"
8	{"draw":2,"family":"anchor_lda4","seed":20260828002}	NA	0.000	crash	"ValueError: Seed must be between 0 and 2**32 - 1"
9	{"draw":2,"family":"logit","seed":20260828002}	NA	0.000	crash	"ValueError: Seed must be between 0 and 2**32 - 1"
10	{"draw":2,"family":"knn7","seed":20260828002}	NA	0.000	crash	"ValueError: Seed must be between 0 and 2**32 - 1"
11	{"draw":2,"family":"svm_rbf","seed":20260828002}	NA	0.000	crash	"ValueError: Seed must be between 0 and 2**32 - 1"
12	{"draw":2,"family":"hgbt","seed":20260828002}	NA	0.000	crash	"ValueError: Seed must be between 0 and 2**32 - 1"
13	{"draw":2,"family":"lda_petal","seed":20260828002}	NA	0.000	crash	"ValueError: Seed must be between 0 and 2**32 - 1"
14	{"draw":2,"family":"lda_sepal","seed":20260828002}	NA	0.000	crash	"ValueError: Seed must be between 0 and 2**32 - 1"
15	{"draw":3,"family":"anchor_lda4","seed":20260828003}	NA	0.000	crash	"ValueError: Seed must be between 0 and 2**32 - 1"
16	{"draw":3,"family":"logit","seed":20260828003}	NA	0.000	crash	"ValueError: Seed must be between 0 and 2**32 - 1"
17	{"draw":3,"family":"knn7","seed":20260828003}	NA	0.000	crash	"ValueError: Seed must be between 0 and 2**32 - 1"
18	{"draw":3,"family":"svm_rbf","seed":20260828003}	NA	0.000	crash	"ValueError: Seed must be between 0 and 2**32 - 1"
19	{"draw":3,"family":"hgbt","seed":20260828003}	NA	0.000	crash	"ValueError: Seed must be between 0 and 2**32 - 1"
20	{"draw":3,"family":"lda_petal","seed":20260828003}	NA	0.000	crash	"ValueError: Seed must be between 0 and 2**32 - 1"
21	{"draw":3,"family":"lda_sepal","seed":20260828003}	NA	0.000	crash	"ValueError: Seed must be between 0 and 2**32 - 1"
22	{"draw":4,"family":"anchor_lda4","seed":20260828004}	NA	0.000	crash	"ValueError: Seed must be between 0 and 2**32 - 1"
23	{"draw":4,"family":"logit","seed":20260828004}	NA	0.000	crash	"ValueError: Seed must be between 0 and 2**32 - 1"
24	{"draw":4,"family":"knn7","seed":20260828004}	NA	0.000	crash	"ValueError: Seed must be between 0 and 2**32 - 1"
25	{"draw":4,"family":"svm_rbf","seed":20260828004}	NA	0.000	crash	"ValueError: Seed must be between 0 and 2**32 - 1"
26	{"draw":4,"family":"hgbt","seed":20260828004}	NA	0.000	crash	"ValueError: Seed must be between 0 and 2**32 - 1"
27	{"draw":4,"family":"lda_petal","seed":20260828004}	NA	0.000	crash	"ValueError: Seed must be between 0 and 2**32 - 1"
28	{"draw":4,"family":"lda_sepal","seed":20260828004}	NA	0.000	crash	"ValueError: Seed must be between 0 and 2**32 - 1"
29	{"draw":5,"family":"anchor_lda4","seed":20260828005}	NA	0.000	crash	"ValueError: Seed must be between 0 and 2**32 - 1"
30	{"draw":5,"family":"logit","seed":20260828005}	NA	0.000	crash	"ValueError: Seed must be between 0 and 2**32 - 1"
31	{"draw":5,"family":"knn7","seed":20260828005}	NA	0.000	crash	"ValueError: Seed must be between 0 and 2**32 - 1"
32	{"draw":5,"family":"svm_rbf","seed":20260828005}	NA	0.000	crash	"ValueError: Seed must be between 0 and 2**32 - 1"
33	{"draw":5,"family":"hgbt","seed":20260828005}	NA	0.000	crash	"ValueError: Seed must be between 0 and 2**32 - 1"
34	{"draw":5,"family":"lda_petal","seed":20260828005}	NA	0.000	crash	"ValueError: Seed must be between 0 and 2**32 - 1"
35	{"draw":5,"family":"lda_sepal","seed":20260828005}	NA	0.000	crash	"ValueError: Seed must be between 0 and 2**32 - 1"
36	{"draw":6,"family":"anchor_lda4","seed":20260828006}	NA	0.000	crash	"ValueError: Seed must be between 0 and 2**32 - 1"
37	{"draw":6,"family":"logit","seed":20260828006}	NA	0.000	crash	"ValueError: Seed must be between 0 and 2**32 - 1"
38	{"draw":6,"family":"knn7","seed":20260828006}	NA	0.000	crash	"ValueError: Seed must be between 0 and 2**32 - 1"
39	{"draw":6,"family":"svm_rbf","seed":20260828006}	NA	0.000	crash	"ValueError: Seed must be between 0 and 2**32 - 1"
40	{"draw":6,"family":"hgbt","seed":20260828006}	NA	0.000	crash	"ValueError: Seed must be between 0 and 2**32 - 1"
41	{"draw":6,"family":"lda_petal","seed":20260828006}	NA	0.000	crash	"ValueError: Seed must be between 0 and 2**32 - 1"
42	{"draw":6,"family":"lda_sepal","seed":20260828006}	NA	0.000	crash	"ValueError: Seed must be between 0 and 2**32 - 1"
43	{"draw":7,"family":"anchor_lda4","seed":20260828007}	NA	0.000	crash	"ValueError: Seed must be between 0 and 2**32 - 1"
44	{"draw":7,"family":"logit","seed":20260828007}	NA	0.000	crash	"ValueError: Seed must be between 0 and 2**32 - 1"
