trial	params_json	primary_metric	wall_seconds	status	error
1	{"draw":1,"family":"anchor_lda4","seed":20260829}	0.026744	0.004	ok	
2	{"draw":1,"family":"logit","seed":20260829}	0.059078	0.006	ok	
3	{"draw":1,"family":"knn7","seed":20260829}	0.045403	0.003	ok	
4	{"draw":1,"family":"svm_rbf","seed":20260829}	0.056963	0.003	ok	
5	{"draw":1,"family":"hgbt","seed":20260829}	0.099975	0.119	ok	
6	{"draw":1,"family":"lda_petal","seed":20260829}	0.069452	0.002	ok	
7	{"draw":1,"family":"lda_sepal","seed":20260829}	0.168936	0.001	ok	
8	{"draw":2,"family":"anchor_lda4","seed":20260830}	0.020956	0.002	ok	
9	{"draw":2,"family":"logit","seed":20260830}	0.050000	0.003	ok	
10	{"draw":2,"family":"knn7","seed":20260830}	0.069286	0.002	ok	
11	{"draw":2,"family":"svm_rbf","seed":20260830}	0.059208	0.002	ok	
12	{"draw":2,"family":"hgbt","seed":20260830}	0.079729	0.107	ok	
13	{"draw":2,"family":"lda_petal","seed":20260830}	0.086112	0.001	ok	
14	{"draw":2,"family":"lda_sepal","seed":20260830}	0.176828	0.001	ok	
15	{"draw":3,"family":"anchor_lda4","seed":20260831}	0.022597	0.001	ok	
16	{"draw":3,"family":"logit","seed":20260831}	0.050000	0.002	ok	
17	{"draw":3,"family":"knn7","seed":20260831}	0.068432	0.002	ok	
18	{"draw":3,"family":"svm_rbf","seed":20260831}	0.067864	0.002	ok	
19	{"draw":3,"family":"hgbt","seed":20260831}	0.067646	0.107	ok	
20	{"draw":3,"family":"lda_petal","seed":20260831}	0.081536	0.001	ok	
21	{"draw":3,"family":"lda_sepal","seed":20260831}	0.201858	0.001	ok	
22	{"draw":4,"family":"anchor_lda4","seed":20260832}	0.031386	0.001	ok	
23	{"draw":4,"family":"logit","seed":20260832}	0.050000	0.002	ok	
24	{"draw":4,"family":"knn7","seed":20260832}	0.025430	0.002	ok	
25	{"draw":4,"family":"svm_rbf","seed":20260832}	0.043457	0.002	ok	
26	{"draw":4,"family":"hgbt","seed":20260832}	0.099978	0.109	ok	
27	{"draw":4,"family":"lda_petal","seed":20260832}	0.041316	0.001	ok	
28	{"draw":4,"family":"lda_sepal","seed":20260832}	0.185632	0.001	ok	
29	{"draw":5,"family":"anchor_lda4","seed":20260833}	0.010379	0.001	ok	
30	{"draw":5,"family":"logit","seed":20260833}	0.050000	0.002	ok	
31	{"draw":5,"family":"knn7","seed":20260833}	0.027319	0.002	ok	
32	{"draw":5,"family":"svm_rbf","seed":20260833}	0.022941	0.002	ok	
33	{"draw":5,"family":"hgbt","seed":20260833}	0.001957	0.107	ok	
34	{"draw":5,"family":"lda_petal","seed":20260833}	0.037008	0.001	ok	
35	{"draw":5,"family":"lda_sepal","seed":20260833}	0.177057	0.001	ok	
36	{"draw":6,"family":"anchor_lda4","seed":20260834}	0.032935	0.001	ok	
37	{"draw":6,"family":"logit","seed":20260834}	0.091979	0.002	ok	
38	{"draw":6,"family":"knn7","seed":20260834}	0.057285	0.002	ok	
39	{"draw":6,"family":"svm_rbf","seed":20260834}	0.048917	0.002	ok	
40	{"draw":6,"family":"hgbt","seed":20260834}	0.053598	0.114	ok	
41	{"draw":6,"family":"lda_petal","seed":20260834}	0.064100	0.001	ok	
42	{"draw":6,"family":"lda_sepal","seed":20260834}	0.238408	0.001	ok	
43	{"draw":7,"family":"anchor_lda4","seed":20260835}	0.037533	0.001	ok	
44	{"draw":7,"family":"logit","seed":20260835}	0.053388	0.002	ok	
45	{"draw":7,"family":"knn7","seed":20260835}	0.056488	0.002	ok	
46	{"draw":7,"family":"svm_rbf","seed":20260835}	0.055340	0.002	ok	
47	{"draw":7,"family":"hgbt","seed":20260835}	0.146068	0.110	ok	
48	{"draw":7,"family":"lda_petal","seed":20260835}	0.061251	0.001	ok	
49	{"draw":7,"family":"lda_sepal","seed":20260835}	0.252799	0.001	ok	
50	{"draw":8,"family":"anchor_lda4","seed":20260836}	0.004053	0.001	ok	
51	{"draw":8,"family":"logit","seed":20260836}	0.006904	0.002	ok	
52	{"draw":8,"family":"knn7","seed":20260836}	0.003952	0.002	ok	
53	{"draw":8,"family":"svm_rbf","seed":20260836}	0.005458	0.002	ok	
54	{"draw":8,"family":"hgbt","seed":20260836}	0.000027	0.110	ok	
55	{"draw":8,"family":"lda_petal","seed":20260836}	0.008408	0.001	ok	
56	{"draw":8,"family":"lda_sepal","seed":20260836}	0.210804	0.001	ok	
57	{"draw":9,"family":"anchor_lda4","seed":20260837}	0.003090	0.001	ok	
58	{"draw":9,"family":"logit","seed":20260837}	0.047619	0.002	ok	
59	{"draw":9,"family":"knn7","seed":20260837}	0.054217	0.002	ok	
60	{"draw":9,"family":"svm_rbf","seed":20260837}	0.032921	0.002	ok	
61	{"draw":9,"family":"hgbt","seed":20260837}	0.046473	0.105	ok	
