repeat	fold	rung	n_actual	n_virginica	n_versicolor	dev_n	jaccard_dev_vs_declared	rows_sha256	row_ids
1	0	60	58	28	30	20	0.2903	ff0ee24660beade0e446d0f2a45e1aaa6814b2441a3a1ab1b5128040568a0e52	0;1;2;4;5;6;7;8;9;13;15;16;17;19;20;21;23;26;27;29;31;32;35;37;38;40;42;45;47;48;52;54;56;59;61;62;64;65;67;69;70;74;75;79;80;81;84;85;87;88;89;90;93;95;96;97;98;99
1	0	45	45	22	23	20	0.2903	ab582a80c356b183017f85af08559b992b73d5b6156ed2cb5e15771c3d389a7a	0;1;2;4;5;6;7;8;9;15;16;17;23;27;29;31;35;37;40;42;45;47;48;52;54;59;61;62;64;65;69;70;74;75;79;80;81;85;87;88;93;95;96;97;98
1	0	30	30	15	15	20	0.2903	2ff6c892089ed640bab1b7bde10f0083da3874320cfb3bda56c1c483cc1325bc	1;4;5;8;9;15;16;23;29;35;40;42;45;47;48;52;54;61;62;64;65;70;75;80;85;88;93;96;97;98
1	0	20	20	10	10	20	0.2903	30e0cc8fe6d80f1a57f7f24d2c971ef3921dffdaa234e6daa2863f6cf005a0a6	1;4;5;8;9;16;29;35;42;48;52;54;61;70;75;80;85;88;93;97
1	0	12	12	6	6	20	0.2903	4a72fba6bb0f4b9dbd9093c4d7c08bf5841fba789ea39a7d31634438cc610bc6	1;4;16;29;42;48;54;75;80;85;88;93
1	0	8	8	4	4	20	0.2903	757be32f464010d5fd83fca75eca2613edd837a57871da98cad1f796f95e0953	1;4;16;29;54;85;88;93
1	1	60	59	28	31	20	0.1429	0b0029d8e07204c3853342fff1add5e01f854aac66c1524238aa905277b8d835	0;2;3;4;5;6;7;9;10;13;14;15;17;19;20;22;23;24;25;28;31;34;35;37;38;40;41;42;44;46;49;53;55;56;57;58;61;62;64;66;67;68;69;70;73;74;75;76;78;79;81;87;88;89;90;96;97;98;99
1	1	45	45	23	22	20	0.1429	6e880dfd3221dfb16b3c2e0a2f72ceffa7dbe30fd4eaf122b1db05a9af4ad3c8	2;3;4;6;7;9;13;14;15;17;19;23;24;25;34;35;37;40;41;42;46;49;53;55;56;57;58;61;62;64;66;67;68;69;73;74;75;78;79;88;89;90;96;97;99
1	1	30	30	15	15	20	0.1429	308458413150bf4a156760bf01f8a0a2fd435ae200479453bea62fc587c9c886	2;3;4;9;13;15;17;19;23;24;25;40;41;42;46;53;56;57;64;66;67;69;73;74;79;88;89;90;96;97
1	1	20	20	10	10	20	0.1429	84346de32eeb1b8d936c51fcd7b66155c7e734dd655a3a18d454c917838e3f9e	2;4;9;17;19;23;25;40;41;46;53;56;64;66;69;74;79;90;96;97
1	1	12	12	6	6	20	0.1429	60cb31cb1b0547d22851c5ffade0c296b729d823e8c38038628e41fcd1b7a716	2;17;19;23;25;40;53;64;74;79;96;97
1	1	8	8	4	4	20	0.1429	8b2bf0fd1e2ad807492a15894f84060786d7c4b1782db816e237510e14314a78	2;23;25;40;53;74;79;96
1	2	60	57	27	30	20	0.1429	12a36079b2602664befdbb4c2191a13cc101e210a0ebe1d5c0f21c161385d904	1;3;5;8;9;13;14;15;16;17;20;21;22;24;25;26;27;28;29;32;34;35;38;40;44;45;46;47;48;49;52;53;54;55;57;58;59;61;62;64;65;66;68;69;73;74;75;76;78;79;80;84;85;87;93;95;96
1	2	45	45	22	23	20	0.1429	bbc6b20a0f40ca07c68a820a6094e055ec3257f807e92e4999d2537935260f8a	1;3;5;9;14;16;20;24;25;26;27;28;29;32;35;38;40;44;45;46;47;48;49;52;53;54;55;57;58;59;61;62;65;66;69;74;75;76;79;80;84;85;87;93;96
1	2	30	30	15	15	20	0.1429	270b3e6de56d6d36b9535668d4a23994f98b632e92e65cca05d1baecf93a9010	5;9;16;24;26;27;29;35;38;40;44;45;47;48;49;53;54;55;57;59;61;62;65;69;74;75;79;85;87;96
1	2	20	20	10	10	20	0.1429	b3c2b0f16cd655c2a40679da717f6e8166c10d7341c07a549503597e9cff97e0	9;24;27;29;38;40;44;45;47;48;53;54;57;61;62;65;74;75;79;96
1	2	12	12	6	6	20	0.1429	b5c1f505eed800b2118220ada85098f4eb8cf732f83bce368ab374ce568abe69	9;29;38;44;47;48;53;54;57;62;65;74
1	2	8	8	4	4	20	0.1429	6b317d8bc342eaf303c977fc52833c7b6053555b46edd02f7fa44fbd018ba1b3	9;38;44;48;53;54;57;62
1	3	60	60	28	32	19	0.0263	f8b0a5f724674a8aea48b426f5830aaf88f5b3b0f7f0af4ed4d8b4cb868d3920	0;1;2;3;4;6;8;10;14;16;19;21;22;23;24;25;26;27;28;29;31;32;34;37;41;42;44;45;46;47;48;49;52;53;54;55;56;57;58;59;65;66;67;68;70;73;76;78;80;81;84;85;88;89;90;93;95;97;98;99
1	3	45	45	23	22	19	0.0263	3f1c07e9de1acbd41bccfb61317dabde49dc2842bdf7bc7f82b5dc5ee983ac8a	3;6;8;10;14;16;19;22;23;24;25;26;28;29;31;32;34;41;42;44;46;47;53;54;55;57;58;59;65;66;67;68;70;73;76;78;80;85;88;89;90;93;95;97;99
