trial	params_json	primary_metric	wall_seconds	status	error
1	{"draw":1,"family":"anchor_lda4","seed":20260901001}	NA	0.004	crash	"ValueError: Seed must be between 0 and 2**32 - 1"
2	{"draw":2,"family":"anchor_lda4","seed":20260901002}	NA	0.000	crash	"ValueError: Seed must be between 0 and 2**32 - 1"
3	{"draw":3,"family":"anchor_lda4","seed":20260901003}	NA	0.000	crash	"ValueError: Seed must be between 0 and 2**32 - 1"
4	{"draw":4,"family":"anchor_lda4","seed":20260901004}	NA	0.000	crash	"ValueError: Seed must be between 0 and 2**32 - 1"
5	{"draw":5,"family":"anchor_lda4","seed":20260901005}	NA	0.000	crash	"ValueError: Seed must be between 0 and 2**32 - 1"
6	{"draw":6,"family":"anchor_lda4","seed":20260901006}	NA	0.000	crash	"ValueError: Seed must be between 0 and 2**32 - 1"
7	{"draw":7,"family":"anchor_lda4","seed":20260901007}	NA	0.000	crash	"ValueError: Seed must be between 0 and 2**32 - 1"
8	{"draw":8,"family":"anchor_lda4","seed":20260901008}	NA	0.000	crash	"ValueError: Seed must be between 0 and 2**32 - 1"
9	{"draw":9,"family":"anchor_lda4","seed":20260901009}	NA	0.000	crash	"ValueError: Seed must be between 0 and 2**32 - 1"
10	{"draw":10,"family":"anchor_lda4","seed":20260901010}	NA	0.000	crash	"ValueError: Seed must be between 0 and 2**32 - 1"
11	{"draw":11,"family":"anchor_lda4","seed":20260901011}	NA	0.000	crash	"ValueError: Seed must be between 0 and 2**32 - 1"
12	{"draw":12,"family":"anchor_lda4","seed":20260901012}	NA	0.000	crash	"ValueError: Seed must be between 0 and 2**32 - 1"
13	{"draw":13,"family":"anchor_lda4","seed":20260901013}	NA	0.000	crash	"ValueError: Seed must be between 0 and 2**32 - 1"
14	{"draw":14,"family":"anchor_lda4","seed":20260901014}	NA	0.000	crash	"ValueError: Seed must be between 0 and 2**32 - 1"
15	{"draw":15,"family":"anchor_lda4","seed":20260901015}	NA	0.000	crash	"ValueError: Seed must be between 0 and 2**32 - 1"
16	{"draw":16,"family":"anchor_lda4","seed":20260901016}	NA	0.000	crash	"ValueError: Seed must be between 0 and 2**32 - 1"
17	{"draw":17,"family":"anchor_lda4","seed":20260901017}	NA	0.000	crash	"ValueError: Seed must be between 0 and 2**32 - 1"
18	{"draw":18,"family":"anchor_lda4","seed":20260901018}	NA	0.000	crash	"ValueError: Seed must be between 0 and 2**32 - 1"
19	{"draw":19,"family":"anchor_lda4","seed":20260901019}	NA	0.000	crash	"ValueError: Seed must be between 0 and 2**32 - 1"
20	{"draw":20,"family":"anchor_lda4","seed":20260901020}	NA	0.000	crash	"ValueError: Seed must be between 0 and 2**32 - 1"
