trial	params_json	primary_metric	wall_seconds	status	error
1	{"family":"qda","fold":0,"repeat":1,"rung":60}	0.033106	0.004	ok	
2	{"family":"qda","fold":1,"repeat":1,"rung":60}	0.013456	0.001	ok	
3	{"family":"qda","fold":2,"repeat":1,"rung":60}	0.070546	0.001	ok	
4	{"family":"qda","fold":3,"repeat":1,"rung":60}	0.030519	0.001	ok	
5	{"family":"qda","fold":0,"repeat":2,"rung":60}	0.051220	0.001	ok	
6	{"family":"qda","fold":1,"repeat":2,"rung":60}	0.015164	0.001	ok	
7	{"family":"qda","fold":2,"repeat":2,"rung":60}	0.017046	0.001	ok	
8	{"family":"qda","fold":3,"repeat":2,"rung":60}	0.044836	0.001	ok	
9	{"family":"qda","fold":0,"repeat":3,"rung":60}	0.020848	0.001	ok	
10	{"family":"qda","fold":1,"repeat":3,"rung":60}	0.028506	0.001	ok	
11	{"family":"qda","fold":2,"repeat":3,"rung":60}	0.052274	0.001	ok	
12	{"family":"qda","fold":3,"repeat":3,"rung":60}	0.024494	0.001	ok	
13	{"family":"qda","fold":0,"repeat":4,"rung":60}	0.032915	0.001	ok	
14	{"family":"qda","fold":1,"repeat":4,"rung":60}	0.004537	0.001	ok	
15	{"family":"qda","fold":2,"repeat":4,"rung":60}	0.080011	0.001	ok	
16	{"family":"qda","fold":3,"repeat":4,"rung":60}	0.046385	0.002	ok	
17	{"family":"qda","fold":0,"repeat":5,"rung":60}	0.035583	0.001	ok	
18	{"family":"qda","fold":1,"repeat":5,"rung":60}	0.030784	0.001	ok	
19	{"family":"qda","fold":2,"repeat":5,"rung":60}	0.026523	0.001	ok	
20	{"family":"qda","fold":3,"repeat":5,"rung":60}	0.033847	0.001	ok	
21	{"family":"qda","fold":0,"repeat":6,"rung":60}	0.031464	0.001	ok	
22	{"family":"qda","fold":1,"repeat":6,"rung":60}	0.084850	0.001	ok	
23	{"family":"qda","fold":2,"repeat":6,"rung":60}	0.011766	0.001	ok	
24	{"family":"qda","fold":3,"repeat":6,"rung":60}	0.014605	0.001	ok	
25	{"family":"qda","fold":0,"repeat":7,"rung":60}	0.050019	0.001	ok	
26	{"family":"qda","fold":1,"repeat":7,"rung":60}	0.024134	0.001	ok	
27	{"family":"qda","fold":2,"repeat":7,"rung":60}	0.044398	0.001	ok	
28	{"family":"qda","fold":3,"repeat":7,"rung":60}	0.011595	0.001	ok	
29	{"family":"qda","fold":0,"repeat":8,"rung":60}	0.021126	0.001	ok	
30	{"family":"qda","fold":1,"repeat":8,"rung":60}	0.018148	0.001	ok	
31	{"family":"qda","fold":2,"repeat":8,"rung":60}	0.034947	0.001	ok	
32	{"family":"qda","fold":3,"repeat":8,"rung":60}	0.046967	0.001	ok	
33	{"family":"qda","fold":0,"repeat":9,"rung":60}	0.065500	0.001	ok	
34	{"family":"qda","fold":1,"repeat":9,"rung":60}	0.021455	0.001	ok	
35	{"family":"qda","fold":2,"repeat":9,"rung":60}	0.030255	0.001	ok	
36	{"family":"qda","fold":3,"repeat":9,"rung":60}	0.012028	0.001	ok	
37	{"family":"qda","fold":0,"repeat":10,"rung":60}	0.025505	0.001	ok	
38	{"family":"qda","fold":1,"repeat":10,"rung":60}	0.051830	0.001	ok	
39	{"family":"qda","fold":2,"repeat":10,"rung":60}	0.026902	0.001	ok	
40	{"family":"qda","fold":3,"repeat":10,"rung":60}	0.016861	0.001	ok	
41	{"family":"qda","fold":0,"repeat":1,"rung":45}	0.030138	0.001	ok	
42	{"family":"qda","fold":1,"repeat":1,"rung":45}	0.015790	0.001	ok	
43	{"family":"qda","fold":2,"repeat":1,"rung":45}	0.078430	0.001	ok	
44	{"family":"qda","fold":3,"repeat":1,"rung":45}	0.032249	0.001	ok	
45	{"family":"qda","fold":0,"repeat":2,"rung":45}	0.058000	0.001	ok	
46	{"family":"qda","fold":1,"repeat":2,"rung":45}	0.012802	0.001	ok	
47	{"family":"qda","fold":2,"repeat":2,"rung":45}	0.018861	0.001	ok	
48	{"family":"qda","fold":3,"repeat":2,"rung":45}	0.047716	0.001	ok	
49	{"family":"qda","fold":0,"repeat":3,"rung":45}	0.019362	0.001	ok	
50	{"family":"qda","fold":1,"repeat":3,"rung":45}	0.035249	0.001	ok	
51	{"family":"qda","fold":2,"repeat":3,"rung":45}	0.053910	0.001	ok	
52	{"family":"qda","fold":3,"repeat":3,"rung":45}	0.024878	0.001	ok	
53	{"family":"qda","fold":0,"repeat":4,"rung":45}	0.051651	0.001	ok	
54	{"family":"qda","fold":1,"repeat":4,"rung":45}	0.005284	0.001	ok	
55	{"family":"qda","fold":2,"repeat":4,"rung":45}	0.061834	0.001	ok	
56	{"family":"qda","fold":3,"repeat":4,"rung":45}	0.043541	0.001	ok	
57	{"family":"qda","fold":0,"repeat":5,"rung":45}	0.030582	0.001	ok	
58	{"family":"qda","fold":1,"repeat":5,"rung":45}	0.027710	0.001	ok	
59	{"family":"qda","fold":2,"repeat":5,"rung":45}	0.024674	0.001	ok	
60	{"family":"qda","fold":3,"repeat":5,"rung":45}	0.016134	0.014	ok	
61	{"family":"qda","fold":0,"repeat":6,"rung":45}	0.025794	0.001	ok	
62	{"family":"qda","fold":1,"repeat":6,"rung":45}	0.079983	0.001	ok	
63	{"family":"qda","fold":2,"repeat":6,"rung":45}	0.014251	0.001	ok	
64	{"family":"qda","fold":3,"repeat":6,"rung":45}	0.011896	0.001	ok	
65	{"family":"qda","fold":0,"repeat":7,"rung":45}	0.046507	0.001	ok	
66	{"family":"qda","fold":1,"repeat":7,"rung":45}	0.020349	0.001	ok	
67	{"family":"qda","fold":2,"repeat":7,"rung":45}	0.050720	0.001	ok	
68	{"family":"qda","fold":3,"repeat":7,"rung":45}	0.014200	0.001	ok	
69	{"family":"qda","fold":0,"repeat":8,"rung":45}	0.022743	0.001	ok	
70	{"family":"qda","fold":1,"repeat":8,"rung":45}	0.017923	0.001	ok	
71	{"family":"qda","fold":2,"repeat":8,"rung":45}	0.041518	0.001	ok	
72	{"family":"qda","fold":3,"repeat":8,"rung":45}	0.045599	0.001	ok	
73	{"family":"qda","fold":0,"repeat":9,"rung":45}	0.069827	0.001	ok	
74	{"family":"qda","fold":1,"repeat":9,"rung":45}	0.016220	0.001	ok	
75	{"family":"qda","fold":2,"repeat":9,"rung":45}	0.031393	0.001	ok	
76	{"family":"qda","fold":3,"repeat":9,"rung":45}	0.011276	0.001	ok	
77	{"family":"qda","fold":0,"repeat":10,"rung":45}	0.027099	0.001	ok	
78	{"family":"qda","fold":1,"repeat":10,"rung":45}	0.061070	0.001	ok	
79	{"family":"qda","fold":2,"repeat":10,"rung":45}	0.022982	0.001	ok	
80	{"family":"qda","fold":3,"repeat":10,"rung":45}	0.021277	0.001	ok	
81	{"family":"qda","fold":0,"repeat":1,"rung":30}	0.023225	0.001	ok	
82	{"family":"qda","fold":1,"repeat":1,"rung":30}	0.015164	0.001	ok	
83	{"family":"qda","fold":2,"repeat":1,"rung":30}	0.073262	0.001	ok	
84	{"family":"qda","fold":3,"repeat":1,"rung":30}	0.032340	0.001	ok	
