trial	params_json	primary_metric	wall_seconds	status	error
1	{"family":"anchor_lda4","fold":0,"repeat":1,"rung":60}	0.042052	0.005	ok	
2	{"family":"anchor_lda4","fold":1,"repeat":1,"rung":60}	0.003326	0.001	ok	
3	{"family":"anchor_lda4","fold":2,"repeat":1,"rung":60}	0.014622	0.001	ok	
4	{"family":"anchor_lda4","fold":3,"repeat":1,"rung":60}	0.054035	0.001	ok	
5	{"family":"anchor_lda4","fold":0,"repeat":2,"rung":60}	0.004331	0.001	ok	
6	{"family":"anchor_lda4","fold":1,"repeat":2,"rung":60}	0.000552	0.001	ok	
7	{"family":"anchor_lda4","fold":2,"repeat":2,"rung":60}	0.020491	0.001	ok	
8	{"family":"anchor_lda4","fold":3,"repeat":2,"rung":60}	0.036393	0.001	ok	
9	{"family":"anchor_lda4","fold":0,"repeat":3,"rung":60}	0.002162	0.001	ok	
10	{"family":"anchor_lda4","fold":1,"repeat":3,"rung":60}	0.036743	0.001	ok	
11	{"family":"anchor_lda4","fold":2,"repeat":3,"rung":60}	0.007623	0.001	ok	
12	{"family":"anchor_lda4","fold":3,"repeat":3,"rung":60}	0.001476	0.001	ok	
13	{"family":"anchor_lda4","fold":0,"repeat":4,"rung":60}	0.036066	0.001	ok	
14	{"family":"anchor_lda4","fold":1,"repeat":4,"rung":60}	0.008982	0.001	ok	
15	{"family":"anchor_lda4","fold":2,"repeat":4,"rung":60}	0.006033	0.001	ok	
16	{"family":"anchor_lda4","fold":3,"repeat":4,"rung":60}	0.055236	0.001	ok	
17	{"family":"anchor_lda4","fold":0,"repeat":5,"rung":60}	0.004684	0.001	ok	
18	{"family":"anchor_lda4","fold":1,"repeat":5,"rung":60}	0.026108	0.001	ok	
19	{"family":"anchor_lda4","fold":2,"repeat":5,"rung":60}	0.014638	0.001	ok	
20	{"family":"anchor_lda4","fold":3,"repeat":5,"rung":60}	0.000035	0.001	ok	
21	{"family":"anchor_lda4","fold":0,"repeat":6,"rung":60}	0.001305	0.001	ok	
22	{"family":"anchor_lda4","fold":1,"repeat":6,"rung":60}	0.029521	0.001	ok	
