family	rung	era	n_repeats	mean_gain	t	p_guard	bar1_guard_cleared	delta_n	rung_open	bar2_actionable
extratrees	8	modern-ml	10	0.026236	1.6159	0.5771	False	0.252	False	False
gnb	8	20c-stats	10	-0.001525	-0.0624	1.0	False	0.252	False	False
gpc_rbf	8	modern-ml	10	-0.007907	-0.4226	1.0	False	0.252	False	False
hgbt	8	modern-ml	10	-0.120795	-6.846	1.0	False	0.252	False	False
knn_tuned	8	20c-stats	10	0.046657	2.7507	0.1963	False	0.252	False	False
lda_platt	8	20c-stats	10	-0.063158	-5.9651	1.0	False	0.252	False	False
lda_shrinkage	8	20c-stats	10	0.071145	3.8753	0.0557	False	0.252	False	False
logit_area	8	20c-stats	10	0.062523	3.7235	0.0664	False	0.252	False	False
logit_l2	8	20c-stats	10	0.050321	3.0634	0.1348	False	0.252	False	False
mlp_small	8	modern-ml	10	0.062363	3.8014	0.0576	False	0.252	False	False
qda	8	20c-stats	10	0.07296	4.8101	0.0195	True	0.252	False	False
rf	8	modern-ml	10	0.040543	2.3855	0.2637	False	0.252	False	False
tabpfn	8	foundation	10	0.061713	3.6672	0.0703	False	0.252	False	False
tabpfn_e16	8	foundation	10	0.063254	3.7872	0.0596	False	0.252	False	False
vote_soft	8	modern-ml	10	0.002481	0.2051	0.9951	False	0.252	False	False
extratrees	12	modern-ml	10	-0.013723	-1.3786	1.0	False	0.147	False	False
gnb	12	20c-stats	10	-0.017467	-1.377	1.0	False	0.147	False	False
gpc_rbf	12	modern-ml	10	-0.027305	-3.2833	1.0	False	0.147	False	False
hgbt	12	modern-ml	10	-0.043256	-2.0044	1.0	False	0.147	False	False
knn_tuned	12	20c-stats	10	0.003414	0.3423	0.9863	False	0.147	False	False
lda_platt	12	20c-stats	10	-0.092134	-6.0127	1.0	False	0.147	False	False
lda_shrinkage	12	20c-stats	10	0.021452	2.4958	0.2402	False	0.147	False	False
logit_area	12	20c-stats	10	0.009746	1.0376	0.8408	False	0.147	False	False
logit_l2	12	20c-stats	10	-0.000435	-0.0459	1.0	False	0.147	False	False
mlp_small	12	modern-ml	10	0.006471	1.1319	0.8115	False	0.147	False	False
qda	12	20c-stats	10	0.022451	2.2795	0.3096	False	0.147	False	False
rf	12	modern-ml	10	0.000537	0.0544	1.0	False	0.147	False	False
svm_linear_platt	12	modern-ml	10	-0.008724	-1.1211	1.0	False	0.147	False	False
svm_rbf_platt	12	modern-ml	10	-0.015405	-1.6151	1.0	False	0.147	False	False
tabpfn	12	foundation	10	0.017382	2.5636	0.2334	False	0.147	False	False
tabpfn_e16	12	foundation	10	0.018407	2.6928	0.209	False	0.147	False	False
vote_soft	12	modern-ml	10	0.007272	0.7891	0.9219	False	0.147	False	False
