sepal_length_cm,sepal_width_cm,petal_length_cm,petal_width_cm,species,is_virginica,group_id
7.0,3.2,4.7,1.4,1,0,row051
6.4,3.2,4.5,1.5,1,0,row052
6.9,3.1,4.9,1.5,1,0,row053
5.5,2.3,4.0,1.3,1,0,row054
6.5,2.8,4.6,1.5,1,0,row055
5.7,2.8,4.5,1.3,1,0,row056
6.3,3.3,4.7,1.6,1,0,row057
4.9,2.4,3.3,1.0,1,0,row058
6.6,2.9,4.6,1.3,1,0,row059
5.2,2.7,3.9,1.4,1,0,row060
5.0,2.0,3.5,1.0,1,0,row061
5.9,3.0,4.2,1.5,1,0,row062
6.0,2.2,4.0,1.0,1,0,row063
6.1,2.9,4.7,1.4,1,0,row064
5.6,2.9,3.6,1.3,1,0,row065
6.7,3.1,4.4,1.4,1,0,row066
5.6,3.0,4.5,1.5,1,0,row067
5.8,2.7,4.1,1.0,1,0,row068
6.2,2.2,4.5,1.5,1,0,row069
5.6,2.5,3.9,1.1,1,0,row070
5.9,3.2,4.8,1.8,1,0,row071
6.1,2.8,4.0,1.3,1,0,row072
6.3,2.5,4.9,1.5,1,0,row073
6.1,2.8,4.7,1.2,1,0,row074
6.4,2.9,4.3,1.3,1,0,row075
6.6,3.0,4.4,1.4,1,0,row076
6.8,2.8,4.8,1.4,1,0,row077
6.7,3.0,5.0,1.7,1,0,row078
6.0,2.9,4.5,1.5,1,0,row079
5.7,2.6,3.5,1.0,1,0,row080
5.5,2.4,3.8,1.1,1,0,row081
5.5,2.4,3.7,1.0,1,0,row082
5.8,2.7,3.9,1.2,1,0,row083
6.0,2.7,5.1,1.6,1,0,row084
5.4,3.0,4.5,1.5,1,0,row085
6.0,3.4,4.5,1.6,1,0,row086
6.7,3.1,4.7,1.5,1,0,row087
6.3,2.3,4.4,1.3,1,0,row088
5.6,3.0,4.1,1.3,1,0,row089
5.5,2.5,4.0,1.3,1,0,row090
5.5,2.6,4.4,1.2,1,0,row091
6.1,3.0,4.6,1.4,1,0,row092
5.8,2.6,4.0,1.2,1,0,row093
5.0,2.3,3.3,1.0,1,0,row094
5.6,2.7,4.2,1.3,1,0,row095
5.7,3.0,4.2,1.2,1,0,row096
5.7,2.9,4.2,1.3,1,0,row097
6.2,2.9,4.3,1.3,1,0,row098
5.1,2.5,3.0,1.1,1,0,row099
5.7,2.8,4.1,1.3,1,0,row100
6.3,3.3,6.0,2.5,2,1,row101
5.8,2.7,5.1,1.9,2,1,twins102-143
7.1,3.0,5.9,2.1,2,1,row103
6.3,2.9,5.6,1.8,2,1,row104
6.5,3.0,5.8,2.2,2,1,row105
7.6,3.0,6.6,2.1,2,1,row106
4.9,2.5,4.5,1.7,2,1,row107
7.3,2.9,6.3,1.8,2,1,row108
6.7,2.5,5.8,1.8,2,1,row109
7.2,3.6,6.1,2.5,2,1,row110
6.5,3.2,5.1,2.0,2,1,row111
6.4,2.7,5.3,1.9,2,1,row112
6.8,3.0,5.5,2.1,2,1,row113
5.7,2.5,5.0,2.0,2,1,row114
5.8,2.8,5.1,2.4,2,1,row115
6.4,3.2,5.3,2.3,2,1,row116
6.5,3.0,5.5,1.8,2,1,row117
7.7,3.8,6.7,2.2,2,1,row118
7.7,2.6,6.9,2.3,2,1,row119
6.0,2.2,5.0,1.5,2,1,row120
6.9,3.2,5.7,2.3,2,1,row121
5.6,2.8,4.9,2.0,2,1,row122
7.7,2.8,6.7,2.0,2,1,row123
6.3,2.7,4.9,1.8,2,1,row124
6.7,3.3,5.7,2.1,2,1,row125
7.2,3.2,6.0,1.8,2,1,row126
6.2,2.8,4.8,1.8,2,1,row127
6.1,3.0,4.9,1.8,2,1,row128
6.4,2.8,5.6,2.1,2,1,row129
7.2,3.0,5.8,1.6,2,1,row130
7.4,2.8,6.1,1.9,2,1,row131
7.9,3.8,6.4,2.0,2,1,row132
6.4,2.8,5.6,2.2,2,1,row133
6.3,2.8,5.1,1.5,2,1,row134
6.1,2.6,5.6,1.4,2,1,row135
7.7,3.0,6.1,2.3,2,1,row136
6.3,3.4,5.6,2.4,2,1,row137
6.4,3.1,5.5,1.8,2,1,row138
6.0,3.0,4.8,1.8,2,1,row139
6.9,3.1,5.4,2.1,2,1,row140
6.7,3.1,5.6,2.4,2,1,row141
6.9,3.1,5.1,2.3,2,1,row142
5.8,2.7,5.1,1.9,2,1,twins102-143
6.8,3.2,5.9,2.3,2,1,row144
6.7,3.3,5.7,2.5,2,1,row145
6.7,3.0,5.2,2.3,2,1,row146
6.3,2.5,5.0,1.9,2,1,row147
6.5,3.0,5.2,2.0,2,1,row148
6.2,3.4,5.4,2.3,2,1,row149
5.9,3.0,5.1,1.8,2,1,row150
