experiment	track	primary_metric	status	commit	description
E0001	primary	0.026409	keep	f69f6e6d4e32353794f857a429c7d2507824edda	E0001 anchor_lda4 on the declared split (registered ladder step 1; the anchor IS the committed base config - allow-rerun per 07/08 mechanic); first valid result on this track
E0002	primary	0.03135	discard	a1a80fd8d63101853b0ca330d8e532897e88cf6b	E0002 lda_petal sufficiency control (registered: discard expected; delta=0 era); did not improve track frontier 0.026409 by minimum_delta=0
E0003	primary	0.156308	discard	dd51647ebc787eb42445111e92e5995015489a7c	E0003 lda_sepal positive control (registered: discard by a catastrophe margin); did not improve track frontier 0.026409 by minimum_delta=0
E0004	primary	0.030051	discard	963d241790213b362478d44d059a3cd0ae15bb47	parade: lda_shrinkage at the declared split (descriptive under DOOR-CLOSED ack; per-candidate reading in RQ0 sidecar); did not improve track frontier 0.026409 by minimum_delta=0.08
E0005	primary	0.019434	discard	696e6e7a73d6fab4b66f7d58b3308d1844031ddc	parade: qda at the declared split (descriptive under DOOR-CLOSED ack; per-candidate reading in RQ0 sidecar); did not improve track frontier 0.026409 by minimum_delta=0.08
E0006	primary	0.025256	discard	00f13d0e885c61431d24656607d759d1e5a20e8f	parade: logit_l2 at the declared split (descriptive under DOOR-CLOSED ack; per-candidate reading in RQ0 sidecar); did not improve track frontier 0.026409 by minimum_delta=0.08
E0007	primary	0.028349	discard	aa5183168d16edd59064f4ab23039d834122a611	parade: knn_tuned at the declared split (descriptive under DOOR-CLOSED ack; per-candidate reading in RQ0 sidecar); did not improve track frontier 0.026409 by minimum_delta=0.08
E0008	primary	0.016995	discard	fef7e58bffb68bbc9d4ecdb80dc04d104e3f5d16	parade: svm_rbf_platt at the declared split (descriptive under DOOR-CLOSED ack; per-candidate reading in RQ0 sidecar); did not improve track frontier 0.026409 by minimum_delta=0.08
E0009	primary	0.090989	discard	f7a8cf8a5f9e38050db2b28f9ec856279bc8e289	parade: hgbt at the declared split (descriptive under DOOR-CLOSED ack; per-candidate reading in RQ0 sidecar); did not improve track frontier 0.026409 by minimum_delta=0.08
E0010	primary	0.01973	discard	cde6e1cd920950780058cc8354231b0f532f5063	parade: tabpfn at the declared split (descriptive under DOOR-CLOSED ack; per-candidate reading in RQ0 sidecar); did not improve track frontier 0.026409 by minimum_delta=0.08
E0011	primary	NA	crash	55e44c120241fc1b39a22fbf88d9d2f9dbeedb78	SEALED T1 (Branch B): coda_primary = anchor on all train rows; band |sealed - 0.026409| <= 0.16; sentence selected from program.md §Sealed by the record; process exit code 1
