trial	params_json	primary_metric	wall_seconds	status	error
1	{"family":"lda_shrinkage","fold":0,"repeat":1,"rung":60}	0.047681	0.007	ok	
2	{"family":"lda_shrinkage","fold":1,"repeat":1,"rung":60}	0.015279	0.004	ok	
3	{"family":"lda_shrinkage","fold":2,"repeat":1,"rung":60}	0.027729	0.004	ok	
4	{"family":"lda_shrinkage","fold":3,"repeat":1,"rung":60}	0.010749	0.004	ok	
5	{"family":"lda_shrinkage","fold":0,"repeat":2,"rung":60}	0.071849	0.004	ok	
6	{"family":"lda_shrinkage","fold":1,"repeat":2,"rung":60}	0.008011	0.003	ok	
7	{"family":"lda_shrinkage","fold":2,"repeat":2,"rung":60}	0.061379	0.004	ok	
8	{"family":"lda_shrinkage","fold":3,"repeat":2,"rung":60}	0.003067	0.003	ok	
9	{"family":"lda_shrinkage","fold":0,"repeat":3,"rung":60}	0.003321	0.003	ok	
10	{"family":"lda_shrinkage","fold":1,"repeat":3,"rung":60}	0.039177	0.003	ok	
11	{"family":"lda_shrinkage","fold":2,"repeat":3,"rung":60}	0.041765	0.003	ok	
12	{"family":"lda_shrinkage","fold":3,"repeat":3,"rung":60}	0.041668	0.004	ok	
13	{"family":"lda_shrinkage","fold":0,"repeat":4,"rung":60}	0.032259	0.003	ok	
14	{"family":"lda_shrinkage","fold":1,"repeat":4,"rung":60}	0.009968	0.003	ok	
15	{"family":"lda_shrinkage","fold":2,"repeat":4,"rung":60}	0.040804	0.003	ok	
16	{"family":"lda_shrinkage","fold":3,"repeat":4,"rung":60}	0.019190	0.003	ok	
17	{"family":"lda_shrinkage","fold":0,"repeat":5,"rung":60}	0.001208	0.003	ok	
18	{"family":"lda_shrinkage","fold":1,"repeat":5,"rung":60}	0.039495	0.003	ok	
19	{"family":"lda_shrinkage","fold":2,"repeat":5,"rung":60}	0.052566	0.003	ok	
20	{"family":"lda_shrinkage","fold":3,"repeat":5,"rung":60}	0.037485	0.003	ok	
21	{"family":"lda_shrinkage","fold":0,"repeat":6,"rung":60}	0.006724	0.003	ok	
22	{"family":"lda_shrinkage","fold":1,"repeat":6,"rung":60}	0.062981	0.003	ok	
23	{"family":"lda_shrinkage","fold":2,"repeat":6,"rung":60}	0.004550	0.003	ok	
24	{"family":"lda_shrinkage","fold":3,"repeat":6,"rung":60}	0.045836	0.003	ok	
25	{"family":"lda_shrinkage","fold":0,"repeat":7,"rung":60}	0.045246	0.004	ok	
26	{"family":"lda_shrinkage","fold":1,"repeat":7,"rung":60}	0.028128	0.003	ok	
27	{"family":"lda_shrinkage","fold":2,"repeat":7,"rung":60}	0.021247	0.004	ok	
28	{"family":"lda_shrinkage","fold":3,"repeat":7,"rung":60}	0.018379	0.004	ok	
29	{"family":"lda_shrinkage","fold":0,"repeat":8,"rung":60}	0.004917	0.003	ok	
