trial	params_json	primary_metric	wall_seconds	status	error
1	{"family":"anchor_lda4","fold":0,"repeat":1,"rung":60}	0.036689	0.012	ok	
2	{"family":"anchor_lda4","fold":1,"repeat":1,"rung":60}	0.019198	0.009	ok	
3	{"family":"anchor_lda4","fold":2,"repeat":1,"rung":60}	0.030845	0.008	ok	
4	{"family":"anchor_lda4","fold":3,"repeat":1,"rung":60}	0.007115	0.007	ok	
5	{"family":"anchor_lda4","fold":0,"repeat":2,"rung":60}	0.089797	0.007	ok	
6	{"family":"anchor_lda4","fold":1,"repeat":2,"rung":60}	0.003348	0.007	ok	
7	{"family":"anchor_lda4","fold":2,"repeat":2,"rung":60}	0.122176	0.007	ok	
8	{"family":"anchor_lda4","fold":3,"repeat":2,"rung":60}	0.001984	0.007	ok	
9	{"family":"anchor_lda4","fold":0,"repeat":3,"rung":60}	0.002633	0.007	ok	
10	{"family":"anchor_lda4","fold":1,"repeat":3,"rung":60}	0.021008	0.007	ok	
11	{"family":"anchor_lda4","fold":2,"repeat":3,"rung":60}	0.050662	0.006	ok	
12	{"family":"anchor_lda4","fold":3,"repeat":3,"rung":60}	0.044488	0.007	ok	
13	{"family":"anchor_lda4","fold":0,"repeat":4,"rung":60}	0.023689	0.007	ok	
14	{"family":"anchor_lda4","fold":1,"repeat":4,"rung":60}	0.015527	0.007	ok	
15	{"family":"anchor_lda4","fold":2,"repeat":4,"rung":60}	0.052465	0.007	ok	
16	{"family":"anchor_lda4","fold":3,"repeat":4,"rung":60}	0.013363	0.006	ok	
17	{"family":"anchor_lda4","fold":0,"repeat":5,"rung":60}	0.002866	0.007	ok	
18	{"family":"anchor_lda4","fold":1,"repeat":5,"rung":60}	0.053056	0.007	ok	
19	{"family":"anchor_lda4","fold":2,"repeat":5,"rung":60}	0.068488	0.006	ok	
20	{"family":"anchor_lda4","fold":3,"repeat":5,"rung":60}	0.015557	0.007	ok	
21	{"family":"anchor_lda4","fold":0,"repeat":6,"rung":60}	0.003691	0.007	ok	
22	{"family":"anchor_lda4","fold":1,"repeat":6,"rung":60}	0.088172	0.006	ok	
23	{"family":"anchor_lda4","fold":2,"repeat":6,"rung":60}	0.003549	0.007	ok	
24	{"family":"anchor_lda4","fold":3,"repeat":6,"rung":60}	0.037634	0.007	ok	
25	{"family":"anchor_lda4","fold":0,"repeat":7,"rung":60}	0.049515	0.006	ok	
26	{"family":"anchor_lda4","fold":1,"repeat":7,"rung":60}	0.009827	0.006	ok	
27	{"family":"anchor_lda4","fold":2,"repeat":7,"rung":60}	0.021852	0.007	ok	
28	{"family":"anchor_lda4","fold":3,"repeat":7,"rung":60}	0.025191	0.007	ok	
29	{"family":"anchor_lda4","fold":0,"repeat":8,"rung":60}	0.004812	0.007	ok	
30	{"family":"anchor_lda4","fold":1,"repeat":8,"rung":60}	0.026616	0.008	ok	
31	{"family":"anchor_lda4","fold":2,"repeat":8,"rung":60}	0.055237	0.007	ok	
32	{"family":"anchor_lda4","fold":3,"repeat":8,"rung":60}	0.027066	0.006	ok	
33	{"family":"anchor_lda4","fold":0,"repeat":9,"rung":60}	0.006518	0.006	ok	
34	{"family":"anchor_lda4","fold":1,"repeat":9,"rung":60}	0.137883	0.006	ok	
35	{"family":"anchor_lda4","fold":2,"repeat":9,"rung":60}	0.035085	0.007	ok	
36	{"family":"anchor_lda4","fold":3,"repeat":9,"rung":60}	0.000881	0.007	ok	
37	{"family":"anchor_lda4","fold":0,"repeat":10,"rung":60}	0.007467	0.006	ok	
38	{"family":"anchor_lda4","fold":1,"repeat":10,"rung":60}	0.000621	0.007	ok	
39	{"family":"anchor_lda4","fold":2,"repeat":10,"rung":60}	0.025652	0.007	ok	
40	{"family":"anchor_lda4","fold":3,"repeat":10,"rung":60}	0.087326	0.008	ok	
41	{"family":"anchor_lda4","fold":0,"repeat":1,"rung":45}	0.045374	0.007	ok	
42	{"family":"anchor_lda4","fold":1,"repeat":1,"rung":45}	0.022757	0.006	ok	
43	{"family":"anchor_lda4","fold":2,"repeat":1,"rung":45}	0.027604	0.006	ok	
44	{"family":"anchor_lda4","fold":3,"repeat":1,"rung":45}	0.011189	0.006	ok	
45	{"family":"anchor_lda4","fold":0,"repeat":2,"rung":45}	0.097178	0.006	ok	
46	{"family":"anchor_lda4","fold":1,"repeat":2,"rung":45}	0.003426	0.006	ok	
47	{"family":"anchor_lda4","fold":2,"repeat":2,"rung":45}	0.089751	0.006	ok	
48	{"family":"anchor_lda4","fold":3,"repeat":2,"rung":45}	0.001084	0.006	ok	
49	{"family":"anchor_lda4","fold":0,"repeat":3,"rung":45}	0.002302	0.006	ok	
50	{"family":"anchor_lda4","fold":1,"repeat":3,"rung":45}	0.011884	0.007	ok	
51	{"family":"anchor_lda4","fold":2,"repeat":3,"rung":45}	0.049744	0.006	ok	
52	{"family":"anchor_lda4","fold":3,"repeat":3,"rung":45}	0.046336	0.007	ok	
53	{"family":"anchor_lda4","fold":0,"repeat":4,"rung":45}	0.027948	0.006	ok	
54	{"family":"anchor_lda4","fold":1,"repeat":4,"rung":45}	0.039689	0.007	ok	
55	{"family":"anchor_lda4","fold":2,"repeat":4,"rung":45}	0.052974	0.006	ok	
