repeat	fold	rung	n_actual	n_virginica	n_versicolor	dev_n	jaccard_dev_vs_declared	rows_sha256	row_ids
1	0	60	60	30	30	20	0.0526	ad41c09c7eec853cc5cd9fe0558b8d86105a90d91fefbbbc44b80b187191f1b6	0;2;3;7;9;11;13;14;17;18;19;20;21;22;24;25;26;27;28;29;31;34;36;37;38;40;41;42;43;47;50;52;54;55;56;58;60;62;63;64;65;66;67;70;71;72;73;76;78;79;81;85;88;89;90;91;93;95;96;99
1	0	45	45	22	23	20	0.0526	8e7c8c462fde0d48ded337c801e955895b00b0ed2e86263bcf802c00b23d27ad	0;2;3;7;11;13;14;17;18;19;20;25;26;27;28;31;36;37;38;41;42;43;47;50;52;54;55;56;58;60;63;66;67;70;72;76;78;79;81;85;88;91;93;96;99
1	0	30	30	15	15	20	0.0526	5d60a4d1225215cc101effbd972ef887796298b460b9f241b9be5613bbf6d7f3	0;2;13;18;19;25;26;27;28;31;37;38;41;42;43;52;55;58;60;63;66;70;72;76;78;79;85;91;96;99
1	0	20	20	10	10	20	0.0526	1fad02deb34fccce04a5f14ddc4b7a6a1c28220116b1162a7ac9a18e60eba8f0	0;13;19;26;31;37;38;41;42;43;52;55;60;70;72;76;79;91;96;99
1	0	12	12	6	6	20	0.0526	9a83718a82cf0a9cea8af0a0ed2b4dd1a35ecd77794ef9cc9437c8c06552d025	13;31;37;41;42;43;55;60;70;72;76;99
1	0	8	8	4	4	20	0.0526	05ff36578b483a8ed82b708976ad565567ba6862afdee27b18a72e9f3ee305fb	31;37;41;43;55;70;72;76
1	1	60	60	29	31	20	0.0811	e0c049c6df2b338e1d39582e5b17aadfe33a5df9d7a5990ae7891c023d614c53	3;4;5;7;8;10;11;13;14;15;16;17;18;20;24;25;26;27;28;29;30;33;35;36;37;38;39;41;42;43;49;50;51;52;53;54;55;58;63;65;66;67;69;71;73;76;77;81;82;84;85;89;90;91;92;93;96;97;98;99
1	1	45	45	23	22	20	0.0811	fdae38cf0227068947bcc0d865a9312a73cf66747503df9a12aeeacd2fef09c6	7;8;10;11;13;14;15;16;17;18;20;24;26;27;28;30;33;35;36;37;41;42;50;52;54;58;63;65;66;69;71;73;76;77;81;82;84;85;89;91;93;96;97;98;99
1	1	30	30	15	15	20	0.0811	c7cff3acc906dc29f1dd9e4b35ad968d557e08177f2b7c1c1ed58f930c936e05	7;8;10;13;14;18;20;24;27;30;33;35;37;41;42;50;52;54;58;65;71;73;77;81;82;84;85;91;98;99
1	1	20	20	10	10	20	0.0811	2bd2ef1af85b45601e11d4c2eef017f8e798cf4c77325fa04acd05dd734ddfbf	7;8;13;14;20;27;30;35;37;41;50;52;54;73;77;81;82;85;98;99
