family	rung	era	n_repeats	mean_gain	t	p_guard	bar1_guard_cleared	delta_n	rung_open	floor_c	bar2_actionable
hgbt	8	2000s	10	-0.144512	-9.5549	1.0	False	0.174	False	0.07959988633051922	False
knn_tuned	8	1970s	10	0.005276	0.3603	0.9482	False	0.174	False	0.072966	False
lda_shrinkage	8	2000s	10	0.040481	2.8986	0.1113	False	0.174	False	0.0274175	False
logit_l2	8	1970s	10	0.017199	1.1424	0.7158	False	0.174	False	0.031553879478558075	False
qda	8	1970s	10	0.028544	2.0619	0.332	False	0.174	False	0.033401629710634116	False
svm_rbf_platt	8	1990s	10	-0.045604	-2.5817	1.0	False	0.174	False	0.044905400566547723	False
tabpfn	8	2025	10	0.026513	2.0827	0.3262	False	0.174	False	0.0350465	False
hgbt	12	2000s	10	-0.032344	-2.771	1.0	False	0.147	False	0.07959988633051922	False
knn_tuned	12	1970s	10	-0.014327	-1.3176	1.0	False	0.147	False	0.072966	False
lda_shrinkage	12	2000s	10	0.020179	1.6587	0.4932	False	0.147	False	0.0274175	False
logit_l2	12	1970s	10	-0.004977	-0.4313	0.998	False	0.147	False	0.031553879478558075	False
qda	12	1970s	10	0.009703	1.1092	0.7295	False	0.147	False	0.033401629710634116	False
svm_rbf_platt	12	1990s	10	-0.028531	-2.7562	1.0	False	0.147	False	0.044905400566547723	False
tabpfn	12	2025	10	0.013263	1.7408	0.4521	False	0.147	False	0.0350465	False
hgbt	20	2000s	10	-0.042386	-4.1055	1.0	False	0.099	False	0.07959988633051922	False
knn_tuned	20	1970s	10	-0.019608	-2.8722	1.0	False	0.099	False	0.072966	False
lda_shrinkage	20	2000s	10	0.005397	0.7894	0.8398	False	0.099	False	0.0274175	False
logit_l2	20	1970s	10	-0.01413	-2.3786	1.0	False	0.099	False	0.031553879478558075	False
qda	20	1970s	10	0.000845	0.1634	0.9727	False	0.099	False	0.033401629710634116	False
svm_rbf_platt	20	1990s	10	-0.022536	-3.5936	1.0	False	0.099	False	0.044905400566547723	False
tabpfn	20	2025	10	-0.000676	-0.1279	0.9912	False	0.099	False	0.0350465	False
hgbt	30	2000s	10	-0.050637	-7.0713	1.0	False	0.07	False	0.07959988633051922	False
knn_tuned	30	1970s	10	-0.019701	-6.3341	1.0	False	0.07	False	0.072966	False
lda_shrinkage	30	2000s	10	0.004008	1.2503	0.6689	False	0.07	False	0.0274175	False
logit_l2	30	1970s	10	-0.014564	-4.5287	1.0	False	0.07	False	0.031553879478558075	False
qda	30	1970s	10	-0.006426	-2.2032	1.0	False	0.07	False	0.033401629710634116	False
svm_rbf_platt	30	1990s	10	-0.019032	-8.1523	1.0	False	0.07	False	0.044905400566547723	False
tabpfn	30	2025	10	-0.006215	-2.3613	1.0	False	0.07	False	0.0350465	False
hgbt	45	2000s	10	-0.049854	-7.6048	1.0	False	0.068	False	0.07959988633051922	False
knn_tuned	45	1970s	10	-0.01215	-7.9963	1.0	False	0.068	False	0.072966	False
lda_shrinkage	45	2000s	10	0.005612	1.8554	0.4033	False	0.068	False	0.0274175	False
logit_l2	45	1970s	10	-0.00884	-3.1643	1.0	False	0.068	False	0.031553879478558075	False
qda	45	1970s	10	-0.005874	-2.0132	1.0	False	0.068	False	0.033401629710634116	False
svm_rbf_platt	45	1990s	10	-0.013688	-6.5128	1.0	False	0.068	False	0.044905400566547723	False
tabpfn	45	2025	10	-0.006231	-1.8957	1.0	False	0.068	False	0.0350465	False
hgbt	60	2000s	10	-0.059501	-12.9432	1.0	False	0.068	False	0.07959988633051922	False
knn_tuned	60	1970s	10	-0.010625	-3.2346	1.0	False	0.068	False	0.072966	False
lda_shrinkage	60	2000s	10	0.004171	1.8765	0.3916	False	0.068	False	0.0274175	False
logit_l2	60	1970s	10	-0.006875	-2.2768	1.0	False	0.068	False	0.031553879478558075	False
qda	60	1970s	10	-0.005546	-1.7054	1.0	False	0.068	False	0.033401629710634116	False
svm_rbf_platt	60	1990s	10	-0.011733	-5.2645	1.0	False	0.068	False	0.044905400566547723	False
tabpfn	60	2025	10	-0.003983	-1.4535	1.0	False	0.068	False	0.0350465	False
