trial	params_json	primary_metric	wall_seconds	status	error
1	{"draw":1,"family":"anchor_lda4","role":"anchor","seed":2026099101}	0.029656	0.015	ok	
2	{"draw":1,"family":"lda_shrinkage","role":"challenger","seed":2026099101}	0.025111	0.007	ok	
3	{"draw":1,"family":"qda","role":"challenger","seed":2026099101}	0.046751	0.005	ok	
4	{"draw":1,"family":"logit_l2","role":"challenger","seed":2026099101}	0.040982	0.006	ok	
5	{"draw":1,"family":"knn_tuned","role":"challenger","seed":2026099101}	0.034913	0.056	ok	
6	{"draw":1,"family":"svm_rbf_platt","role":"challenger","seed":2026099101}	0.050267	0.029	ok	
7	{"draw":1,"family":"hgbt","role":"challenger","seed":2026099101}	0.049918	2.965	ok	
8	{"draw":1,"family":"tabpfn","role":"challenger","seed":2026099101}	0.037795	2.261	ok	
9	{"draw":1,"family":"lda_petal","role":"control","seed":2026099101}	0.036482	0.004	ok	
10	{"draw":1,"family":"lda_sepal","role":"control","seed":2026099101}	0.219035	0.004	ok	
11	{"draw":2,"family":"anchor_lda4","role":"anchor","seed":2026099102}	0.043573	0.005	ok	
12	{"draw":2,"family":"lda_shrinkage","role":"challenger","seed":2026099102}	0.040361	0.005	ok	
13	{"draw":2,"family":"qda","role":"challenger","seed":2026099102}	0.038873	0.003	ok	
14	{"draw":2,"family":"logit_l2","role":"challenger","seed":2026099102}	0.052186	0.007	ok	
15	{"draw":2,"family":"knn_tuned","role":"challenger","seed":2026099102}	0.060178	0.060	ok	
16	{"draw":2,"family":"svm_rbf_platt","role":"challenger","seed":2026099102}	0.047108	0.026	ok	
17	{"draw":2,"family":"hgbt","role":"challenger","seed":2026099102}	0.099842	2.895	ok	
18	{"draw":2,"family":"tabpfn","role":"challenger","seed":2026099102}	0.043636	0.533	ok	
19	{"draw":2,"family":"lda_petal","role":"control","seed":2026099102}	0.065215	0.004	ok	
20	{"draw":2,"family":"lda_sepal","role":"control","seed":2026099102}	0.272038	0.003	ok	
21	{"draw":3,"family":"anchor_lda4","role":"anchor","seed":2026099103}	0.058827	0.004	ok	
22	{"draw":3,"family":"lda_shrinkage","role":"challenger","seed":2026099103}	0.042931	0.004	ok	
23	{"draw":3,"family":"qda","role":"challenger","seed":2026099103}	0.072254	0.004	ok	
24	{"draw":3,"family":"logit_l2","role":"challenger","seed":2026099103}	0.055001	0.007	ok	
25	{"draw":3,"family":"knn_tuned","role":"challenger","seed":2026099103}	0.034713	0.065	ok	
26	{"draw":3,"family":"svm_rbf_platt","role":"challenger","seed":2026099103}	0.043126	0.031	ok	
27	{"draw":3,"family":"hgbt","role":"challenger","seed":2026099103}	0.138947	2.818	ok	
28	{"draw":3,"family":"tabpfn","role":"challenger","seed":2026099103}	0.055457	0.568	ok	
29	{"draw":3,"family":"lda_petal","role":"control","seed":2026099103}	0.056038	0.005	ok	
30	{"draw":3,"family":"lda_sepal","role":"control","seed":2026099103}	0.243915	0.003	ok	
31	{"draw":4,"family":"anchor_lda4","role":"anchor","seed":2026099104}	0.038511	0.004	ok	
32	{"draw":4,"family":"lda_shrinkage","role":"challenger","seed":2026099104}	0.026017	0.004	ok	
33	{"draw":4,"family":"qda","role":"challenger","seed":2026099104}	0.010008	0.002	ok	
34	{"draw":4,"family":"logit_l2","role":"challenger","seed":2026099104}	0.022473	0.004	ok	
35	{"draw":4,"family":"knn_tuned","role":"challenger","seed":2026099104}	0.031777	0.052	ok	
36	{"draw":4,"family":"svm_rbf_platt","role":"challenger","seed":2026099104}	0.021316	0.027	ok	
37	{"draw":4,"family":"hgbt","role":"challenger","seed":2026099104}	0.076784	2.343	ok	
38	{"draw":4,"family":"tabpfn","role":"challenger","seed":2026099104}	0.021100	0.483	ok	
39	{"draw":4,"family":"lda_petal","role":"control","seed":2026099104}	0.053442	0.003	ok	
40	{"draw":4,"family":"lda_sepal","role":"control","seed":2026099104}	0.169926	0.002	ok	
41	{"draw":5,"family":"anchor_lda4","role":"anchor","seed":2026099105}	0.012964	0.005	ok	
42	{"draw":5,"family":"lda_shrinkage","role":"challenger","seed":2026099105}	0.020626	0.004	ok	
43	{"draw":5,"family":"qda","role":"challenger","seed":2026099105}	0.048901	0.002	ok	
44	{"draw":5,"family":"logit_l2","role":"challenger","seed":2026099105}	0.051309	0.006	ok	
45	{"draw":5,"family":"knn_tuned","role":"challenger","seed":2026099105}	0.044486	0.067	ok	
46	{"draw":5,"family":"svm_rbf_platt","role":"challenger","seed":2026099105}	0.052090	0.029	ok	
47	{"draw":5,"family":"hgbt","role":"challenger","seed":2026099105}	0.052307	1.670	ok	
48	{"draw":5,"family":"tabpfn","role":"challenger","seed":2026099105}	0.031938	0.519	ok	
49	{"draw":5,"family":"lda_petal","role":"control","seed":2026099105}	0.063043	0.004	ok	
50	{"draw":5,"family":"lda_sepal","role":"control","seed":2026099105}	0.292112	0.004	ok	
