rung	metric	scope	family	n_evals	n_na	n_ceiling	ceiling_share	mean_val_brier	mean_val_logloss
60	val_auc	family	anchor_lda4	40	0	31	0.775	0.033239	0.110342
60	val_auc	family	hgbt	40	0	7	0.175	0.092739	0.616721
60	val_auc	family	knn_tuned	40	0	22	0.55	0.043863	0.219875
60	val_auc	family	lda_petal	40	0	24	0.6	0.048260	0.160235
60	val_auc	family	lda_sepal	40	0	0	0.0	0.214629	0.617890
60	val_auc	family	lda_shrinkage	40	0	31	0.775	0.029068	0.092932
60	val_auc	family	logit_l2	40	0	29	0.725	0.040113	0.153934
60	val_auc	family	qda	40	0	26	0.65	0.038785	0.145036
60	val_auc	family	svm_rbf_platt	40	0	25	0.625	0.044972	0.153014
60	val_auc	family	tabpfn	40	0	25	0.625	0.037222	0.121739
60	val_auc	pooled	ALL	400	0	220	0.55	0.062289	0.239172
60	val_pr_auc	family	anchor_lda4	40	0	31	0.775	0.033239	0.110342
60	val_pr_auc	family	hgbt	40	0	7	0.175	0.092739	0.616721
60	val_pr_auc	family	knn_tuned	40	0	22	0.55	0.043863	0.219875
60	val_pr_auc	family	lda_petal	40	0	24	0.6	0.048260	0.160235
60	val_pr_auc	family	lda_sepal	40	0	0	0.0	0.214629	0.617890
60	val_pr_auc	family	lda_shrinkage	40	0	31	0.775	0.029068	0.092932
60	val_pr_auc	family	logit_l2	40	0	29	0.725	0.040113	0.153934
60	val_pr_auc	family	qda	40	0	26	0.65	0.038785	0.145036
60	val_pr_auc	family	svm_rbf_platt	40	0	25	0.625	0.044972	0.153014
60	val_pr_auc	family	tabpfn	40	0	25	0.625	0.037222	0.121739
60	val_pr_auc	pooled	ALL	400	0	220	0.55	0.062289	0.239172
60	val_f1	family	anchor_lda4	40	0	19	0.475	0.033239	0.110342
60	val_f1	family	hgbt	40	0	4	0.1	0.092739	0.616721
60	val_f1	family	knn_tuned	40	0	10	0.25	0.043863	0.219875
60	val_f1	family	lda_petal	40	0	10	0.25	0.048260	0.160235
60	val_f1	family	lda_sepal	40	0	0	0.0	0.214629	0.617890
60	val_f1	family	lda_shrinkage	40	0	18	0.45	0.029068	0.092932
60	val_f1	family	logit_l2	40	0	17	0.425	0.040113	0.153934
60	val_f1	family	qda	40	0	12	0.3	0.038785	0.145036
60	val_f1	family	svm_rbf_platt	40	0	7	0.175	0.044972	0.153014
60	val_f1	family	tabpfn	40	0	13	0.325	0.037222	0.121739
60	val_f1	pooled	ALL	400	0	110	0.275	0.062289	0.239172
45	val_auc	family	anchor_lda4	40	0	25	0.625	0.034965	0.119896
45	val_auc	family	hgbt	40	0	8	0.2	0.084819	0.586343
45	val_auc	family	knn_tuned	40	0	19	0.475	0.047115	0.217905
45	val_auc	family	lda_petal	40	0	23	0.575	0.047888	0.158907
45	val_auc	family	lda_sepal	40	0	0	0.0	0.215786	0.620836
45	val_auc	family	lda_shrinkage	40	0	30	0.75	0.029353	0.094843
45	val_auc	family	logit_l2	40	0	27	0.675	0.043804	0.169845
45	val_auc	family	qda	40	0	25	0.625	0.040839	0.150468
45	val_auc	family	svm_rbf_platt	40	0	17	0.425	0.048653	0.171344
45	val_auc	family	tabpfn	40	0	24	0.6	0.041196	0.134259
45	val_auc	pooled	ALL	400	0	198	0.495	0.063442	0.242465
45	val_pr_auc	family	anchor_lda4	40	0	25	0.625	0.034965	0.119896
45	val_pr_auc	family	hgbt	40	0	8	0.2	0.084819	0.586343
45	val_pr_auc	family	knn_tuned	40	0	19	0.475	0.047115	0.217905
45	val_pr_auc	family	lda_petal	40	0	23	0.575	0.047888	0.158907
45	val_pr_auc	family	lda_sepal	40	0	0	0.0	0.215786	0.620836
45	val_pr_auc	family	lda_shrinkage	40	0	30	0.75	0.029353	0.094843
45	val_pr_auc	family	logit_l2	40	0	27	0.675	0.043804	0.169845
45	val_pr_auc	family	qda	40	0	25	0.625	0.040839	0.150468
45	val_pr_auc	family	svm_rbf_platt	40	0	17	0.425	0.048653	0.171344
45	val_pr_auc	family	tabpfn	40	0	24	0.6	0.041196	0.134259
45	val_pr_auc	pooled	ALL	400	0	198	0.495	0.063442	0.242465
45	val_f1	family	anchor_lda4	40	0	18	0.45	0.034965	0.119896
45	val_f1	family	hgbt	40	0	6	0.15	0.084819	0.586343
45	val_f1	family	knn_tuned	40	0	9	0.225	0.047115	0.217905
45	val_f1	family	lda_petal	40	0	9	0.225	0.047888	0.158907
45	val_f1	family	lda_sepal	40	0	0	0.0	0.215786	0.620836
45	val_f1	family	lda_shrinkage	40	0	19	0.475	0.029353	0.094843
45	val_f1	family	logit_l2	40	0	10	0.25	0.043804	0.169845
45	val_f1	family	qda	40	0	10	0.25	0.040839	0.150468
45	val_f1	family	svm_rbf_platt	40	0	7	0.175	0.048653	0.171344
45	val_f1	family	tabpfn	40	0	9	0.225	0.041196	0.134259
45	val_f1	pooled	ALL	400	0	97	0.2425	0.063442	0.242465
30	val_auc	family	anchor_lda4	40	0	25	0.625	0.037129	0.135012
30	val_auc	family	hgbt	40	0	11	0.275	0.087766	0.562241
30	val_auc	family	knn_tuned	40	0	18	0.45	0.056830	0.297003
30	val_auc	family	lda_petal	40	0	25	0.625	0.047318	0.155724
30	val_auc	family	lda_sepal	40	0	0	0.0	0.225356	0.643812
30	val_auc	family	lda_shrinkage	40	0	27	0.675	0.033122	0.104468
30	val_auc	family	logit_l2	40	0	21	0.525	0.051694	0.197764
30	val_auc	family	qda	40	0	22	0.55	0.043555	0.156276
30	val_auc	family	svm_rbf_platt	40	0	20	0.5	0.056162	0.203312
30	val_auc	family	tabpfn	40	0	22	0.55	0.043344	0.147924
