experiment	metric	value
E0001	artifact	tables/identity_anchors.tsv
E0001	wall_seconds	0.021898984909057617
E0001	rows	4
E0001	sha256	8f927d354d4f2995f011e4e26dc50ebc51db4880ecefc7358a83693448edef93
E0001	sum_r	21.872999999999998
E0001	sum_v	8955.0
E0001	n_table1	24.0
E0001	n_table2	22.0
E0001	max_abs_deviation	3.552713678800501e-15
E0002	artifact	tables/two_parameter_fits.tsv
E0002	wall_seconds	0.010587930679321289
E0002	rows	2
E0002	sha256	cfb6bd97156190415de5b396e6d7f5369c5819e81453e6b3df1b064fba8bf6a8
E0002	k_origin	423.9373232316303
E0002	k_free	454.15844092262836
E0002	intercept_free	-40.78364909586038
E0002	abs_gap_465_origin	41.06267676836973
E0002	abs_gap_465_free	10.841559077371642
E0002	min_abs_gap_465	10.841559077371642
E0002	se_k_free	75.2371053471691
E0002	probable_error_k_free	50.74742755666556
E0002	residual_sd_kms	232.9106701830066
E0002	r2_origin	0.6194422240017304
E0002	r2_free	0.6235305209067517
E0002	n	24.0
E0003	artifact	tables/table1_absolute_magnitudes.tsv
E0003	wall_seconds	0.009866952896118164
E0003	rows	24
E0003	sha256	0e709cb8bc1cd3fee9ddfcebc741bf9ca054e1543b327cae4a97d4192dda5388
E0003	max_abs_mag_dev	0.07121254719662495
E0003	mean_abs_mag_dev	0.022133867019204907
E0003	n_objects	24.0
E0003	n_outside_tolerance	3.0
E0003	mean_M_t_computed	-15.483270669070984
E0003	mean_M_t_printed	-15.479166666666666
E0003	paper_printed_mean_M_t	-15.5
E0003	abs_gap_printed_column_mean	0.020833333333333925
E0004	artifact	tables/solar_motion_inputs.tsv
E0004	wall_seconds	0.009654045104980469
E0004	rows	9
E0004	sha256	f68402b5e2c9a910c0a75d55129cb086c0e7f2f5b1d801a43574efca85eeed5b
E0004	coords_available	0.0
E0004	coords_required	24.0
E0004	coordinate_columns_found	0.0
E0004	offline_catalogue_files	0.0
E0004	sources_checked	3.0
E0004	target_k	465.0
E0004	target_tolerance	50.0
E0005	artifact	tables/nine_group_inputs.tsv
E0005	wall_seconds	0.009633779525756836
E0005	rows	5
E0005	sha256	6cf66ea4f4386d6f969220cfc0586dff7b62041ca0f749db9894ed05c3dbabc3
E0005	groups_reconstructed	0.0
E0005	groups_required	9.0
E0005	distinct_distances	15.0
E0005	objects_sharing_a_distance	14.0
E0005	n_objects	24.0
E0005	target_k	513.0
E0005	target_tolerance	60.0
E0005	textbook_value	500.0
E0006	ci_low	316.64858174327037
E0006	ci_high	603.7047616032934
E0006	n	24
E0006	wall_seconds	0.018871068954467773
E0006	artifact	tables/bootstrap_k.tsv
E0006	n_boot	2000.0
E0006	seed_block_a	20260903.0
E0006	ci_width	287.056179860023
E0006	bootstrap_se_free	72.93386164166547
E0006	analytic_se_free	75.2371053471691
E0006	probable_error_free	49.19388967730336
E0006	k_origin	423.9373232316303
E0006	ci_low_origin	342.3080213322117
E0006	ci_high_origin	510.783153397515
E0006	hubble_target_k	465.0
E0006	hubble_probable_error	50.0
E0006	target_inside_ci	1.0
