object	r_mpc	v_kms	k_without_object	influence_kms_per_mpc	virgo_cluster
S. Mag.	0.032000	170.000000	474.677322	20.518881	no
L. Mag.	0.034000	290.000000	487.040171	32.881730	no
N.G.C.6822	0.214000	-130.000000	439.212449	-14.945992	no
598	0.263000	-70.000000	443.159823	-10.998618	no
221	0.275000	-185.000000	434.651142	-19.507299	no
224	0.275000	-220.000000	432.114054	-22.044387	no
5457	0.450000	200.000000	456.031089	1.872648	no
4736	0.500000	290.000000	458.890838	4.732397	no
5194	0.500000	270.000000	457.978168	3.819727	no
4449	0.630000	200.000000	452.757373	-1.401068	no
4214	0.800000	300.000000	453.884689	-0.273752	no
3031	0.900000	-30.000000	453.665534	-0.492907	no
3627	0.900000	650.000000	454.507773	0.349332	no
4826	0.900000	150.000000	453.888480	-0.269961	no
5236	0.900000	500.000000	454.321985	0.163544	no
1068	1.000000	920.000000	449.265349	-4.893092	no
5055	1.100000	450.000000	454.339689	0.181248	no
7331	1.100000	500.000000	453.308772	-0.849669	no
4258	1.400000	500.000000	459.349813	5.191372	no
4151	1.700000	960.000000	433.092262	-21.066179	no
4382	2.000000	500.000000	504.178668	50.020227	yes
4472	2.000000	850.000000	456.544664	2.386223	yes
4486	2.000000	800.000000	463.349522	9.191081	yes
4649	2.000000	1090.000000	423.881347	-30.277094	yes
