object	v_kms	m_t	r_implied_mpc	M_implied
N.G.C.278	650.000000	12.000000	1.431219	-13.778530
584	1800.000000	10.900000	3.963375	-17.090326
936	1300.000000	11.100000	2.862437	-16.183680
1023	300.000000	10.200000	0.660562	-13.899569
1700	800.000000	12.500000	1.761500	-13.729413
2681	700.000000	10.700000	1.541312	-15.239453
2683	400.000000	9.900000	0.880750	-14.824263
2841	600.000000	9.400000	1.321125	-16.204719
3034	290.000000	9.000000	0.638544	-15.025953
3115	600.000000	9.500000	1.321125	-16.104719
3368	940.000000	10.000000	2.069762	-16.579602
3379	810.000000	9.400000	1.783519	-16.856388
3489	600.000000	11.200000	1.321125	-14.404719
3521	730.000000	10.100000	1.607369	-15.930577
3623	800.000000	9.900000	1.761500	-16.329413
4111	800.000000	10.100000	1.761500	-16.129413
4526	580.000000	11.100000	1.277087	-14.431103
4565	1100.000000	11.000000	2.422062	-15.920926
4594	1140.000000	9.100000	2.510137	-17.898487
5005	900.000000	11.100000	1.981687	-15.385176
5866	650.000000	11.700000	1.431219	-14.078530
