object	m_t	r_mpc	M_t_printed	M_t_computed	abs_deviation	tolerance	reproduced
S. Mag.	1.500000	0.032000	-16.000000	-16.025750	0.025750	0.060000	yes
L. Mag.	0.500000	0.034000	-17.200000	-17.157395	0.042605	0.060000	yes
N.G.C.6822	9.000000	0.214000	-12.700000	-12.652069	0.047931	0.060000	yes
598	7.000000	0.263000	-15.100000	-15.099779	0.000221	0.060000	yes
221	8.800000	0.275000	-13.400000	-13.396663	0.003337	0.060000	yes
224	5.000000	0.275000	-17.200000	-17.196663	0.003337	0.060000	yes
5457	9.900000	0.450000	-13.300000	-13.366063	0.066063	0.060000	no
4736	8.400000	0.500000	-15.100000	-15.094850	0.005150	0.060000	yes
5194	7.400000	0.500000	-16.100000	-16.094850	0.005150	0.060000	yes
4449	9.500000	0.630000	-14.500000	-14.496703	0.003297	0.060000	yes
4214	11.300000	0.800000	-13.200000	-13.215450	0.015450	0.060000	yes
3031	8.300000	0.900000	-16.400000	-16.471213	0.071213	0.060000	no
3627	9.100000	0.900000	-15.700000	-15.671213	0.028787	0.060000	yes
4826	9.000000	0.900000	-15.700000	-15.771213	0.071213	0.060000	no
5236	10.400000	0.900000	-14.400000	-14.371213	0.028787	0.060000	yes
1068	9.100000	1.000000	-15.900000	-15.900000	0.000000	0.060000	yes
5055	9.600000	1.100000	-15.600000	-15.606963	0.006963	0.060000	yes
7331	10.400000	1.100000	-14.800000	-14.806963	0.006963	0.060000	yes
4258	8.700000	1.400000	-17.000000	-17.030640	0.030640	0.060000	yes
4151	12.000000	1.700000	-14.200000	-14.152245	0.047755	0.060000	yes
4382	10.000000	2.000000	-16.500000	-16.505150	0.005150	0.060000	yes
4472	8.800000	2.000000	-17.700000	-17.705150	0.005150	0.060000	yes
4486	9.700000	2.000000	-16.800000	-16.805150	0.005150	0.060000	yes
4649	9.500000	2.000000	-17.000000	-17.005150	0.005150	0.060000	yes
