experiment	metric	value
E0001	wall_seconds	9.397040128707886
E0001	planted	12.0
E0001	rejected	12.0
E0001	evaluations	0.0
E0001	passes	0.0
E0001	best_at_evaluation	0.0
E0001	search_seconds	9.396334666991606
E0001	grid_n	11.0
E0001	budget	20000.0
E0001	search_seed	20260903.0
E0001	sealed_block	0.0
E0001	overclaim_by	0.0
E0001	claimed_objective	11.0
E0001	object_size	11.0
E0002	wall_seconds	0.008428096771240234
E0002	evaluations	20000.0
E0002	passes	191.0
E0002	best_at_evaluation	4621.0
E0002	search_seconds	0.00803895783610642
E0002	grid_n	11.0
E0002	budget	20000.0
E0002	search_seed	20260903.0
E0002	sealed_block	0.0
E0002	overclaim_by	0.0
E0002	claimed_objective	20.0
E0002	object_size	20.0
E0003	wall_seconds	0.08034396171569824
E0003	evaluations	200000.0
E0003	passes	1902.0
E0003	best_at_evaluation	152572.0
E0003	search_seconds	0.07992429193109274
E0003	grid_n	11.0
E0003	budget	200000.0
E0003	search_seed	20260903.0
E0003	sealed_block	0.0
E0003	overclaim_by	0.0
E0003	claimed_objective	21.0
E0003	object_size	21.0
E0004	wall_seconds	0.8084321022033691
E0004	evaluations	2000000.0
E0004	passes	19014.0
E0004	best_at_evaluation	152572.0
E0004	search_seconds	0.8079551248811185
E0004	grid_n	11.0
E0004	budget	2000000.0
E0004	search_seed	20260903.0
E0004	sealed_block	0.0
E0004	overclaim_by	0.0
E0004	claimed_objective	21.0
E0004	object_size	21.0
E0005	wall_seconds	0.011398077011108398
E0005	evaluations	20000.0
E0005	passes	22.0
E0005	best_at_evaluation	7376.0
E0005	search_seconds	0.01099495799280703
E0005	grid_n	31.0
E0005	budget	20000.0
E0005	search_seed	20260903.0
E0005	sealed_block	0.0
E0005	overclaim_by	0.0
E0005	claimed_objective	50.0
E0005	object_size	50.0
E0006	wall_seconds	0.10267019271850586
E0006	evaluations	200000.0
E0006	passes	220.0
E0006	best_at_evaluation	90378.0
E0006	search_seconds	0.10216191597282887
E0006	grid_n	31.0
E0006	budget	200000.0
E0006	search_seed	20260903.0
E0006	sealed_block	0.0
E0006	overclaim_by	0.0
E0006	claimed_objective	53.0
E0006	object_size	53.0
E0007	wall_seconds	1.0610620975494385
E0007	evaluations	2000000.0
E0007	passes	2190.0
E0007	best_at_evaluation	326744.0
E0007	search_seconds	1.0604316669050604
E0007	grid_n	31.0
E0007	budget	2000000.0
E0007	search_seed	20260903.0
E0007	sealed_block	0.0
E0007	overclaim_by	0.0
E0007	claimed_objective	54.0
E0007	object_size	54.0
E0008	wall_seconds	0.008495092391967773
E0008	evaluations	20000.0
E0008	passes	191.0
E0008	best_at_evaluation	4621.0
E0008	search_seconds	0.008108207955956459
E0008	grid_n	11.0
E0008	budget	20000.0
E0008	search_seed	20260903.0
E0008	sealed_block	0.0
E0008	overclaim_by	1.0
E0008	claimed_objective	21.0
E0008	object_size	20.0
