experiment	metric	value
E0001	val_auc	0.614139800632142
E0001	val_pr_auc	0.09442100677603757
E0001	val_logloss	0.6736423995496286
E0001	val_brier	0.24064117955281994
E0001	val_lift_top10	1.736
E0001	val_best_threshold	0.56
E0001	val_f1_at_best	0.15932023366967604
E0001	wall_seconds	1.1516788005828857
E0001	min_proba_std	0.09874894158962141
E0001	proba_range	0.7131997201038097
E0001	proba_unique_values	5840
E0001	model_path	models/best_primary_E0001_0.61414_6a8843fdf853.joblib
E0001	rung	glm_ohe_balanced
E0001	twin_free_rows	5559
E0001	twin_free_auc	0.615337
E0001	twin_free_gap	0.001198
E0001	v1_anchor	0.625462
E0001	anchor_gap	-0.011322
E0002	val_auc	0.6500953075613907
E0002	val_pr_auc	0.09785730271606785
E0002	val_logloss	0.22936198471097455
E0002	val_brier	0.05899384027800865
E0002	val_lift_top10	1.655876923076923
E0002	val_best_threshold	0.08
E0002	val_f1_at_best	0.1647577092511013
E0002	wall_seconds	151.95549702644348
E0002	min_proba_std	0.029468248102285155
E0002	proba_range	0.2906222725068693
E0002	proba_unique_values	1355
E0002	model_path	models/best_primary_E0002_0.650095_b2f6e68ee140.joblib
E0002	rung	glm_splines_isotonic
E0002	twin_free_rows	5559
E0002	twin_free_auc	0.648680
E0002	twin_free_gap	-0.001415
E0002	v1_anchor	0.651707
E0002	anchor_gap	-0.001612
E0002	reference_rung	glm_ohe_balanced
E0002	reference_auc	0.614140
E0002	delta_vs_reference	0.035956
E0002	reference_brier	0.240641
E0002	brier_delta_vs_reference	-0.181647
E0002	delta_in_floors	0.9568
E0003	val_auc	0.6640510576221735
E0003	val_pr_auc	0.11161007567286757
E0003	val_logloss	0.6339687265515684
E0003	val_brier	0.22352940356410958
E0003	val_lift_top10	2.2167384615384615
E0003	val_best_threshold	0.5800000000000001
E0003	val_f1_at_best	0.18659987476518472
E0003	wall_seconds	173.23483204841614
E0003	min_proba_std	0.14108396589289732
E0003	proba_range	0.6787629656169802
E0003	proba_unique_values	4487
E0003	model_path	models/best_primary_E0003_0.664051_20bc52a45049.joblib
E0003	rung	hgbt_balanced
E0003	twin_free_rows	5559
E0003	twin_free_auc	0.665069
E0003	twin_free_gap	0.001018
E0003	v1_anchor	0.662897
E0003	anchor_gap	0.001154
E0003	reference_rung	glm_splines_isotonic
E0003	reference_auc	0.650095
E0003	delta_vs_reference	0.013956
E0003	reference_brier	0.058994
E0003	brier_delta_vs_reference	0.164536
E0003	delta_in_floors	0.3714
