trial	params_json	primary_metric	wall_seconds	status	error
1	{"replicate":0}	-0.001019	85.708	ok	
2	{"replicate":1}	-0.001936	0.002	ok	
3	{"replicate":2}	-0.001395	0.002	ok	
4	{"replicate":3}	-0.002274	0.002	ok	
5	{"replicate":4}	-0.001002	0.002	ok	
6	{"replicate":5}	-0.000501	0.002	ok	
7	{"replicate":6}	-0.002368	0.002	ok	
8	{"replicate":7}	-0.001554	0.002	ok	
9	{"replicate":8}	-0.001546	0.002	ok	
10	{"replicate":9}	0.000032	0.002	ok	
11	{"replicate":10}	-0.000329	0.002	ok	
12	{"replicate":11}	-0.002831	0.002	ok	
13	{"replicate":12}	-0.002495	0.002	ok	
14	{"replicate":13}	-0.003320	0.002	ok	
15	{"replicate":14}	-0.002625	0.002	ok	
16	{"replicate":15}	-0.003685	0.002	ok	
17	{"replicate":16}	-0.002605	0.002	ok	
18	{"replicate":17}	-0.003952	0.002	ok	
19	{"replicate":18}	0.000361	0.002	ok	
20	{"replicate":19}	-0.002600	0.002	ok	
21	{"replicate":20}	-0.000783	0.002	ok	
22	{"replicate":21}	-0.001711	0.002	ok	
23	{"replicate":22}	-0.003073	0.002	ok	
24	{"replicate":23}	-0.001261	0.002	ok	
25	{"replicate":24}	0.000729	0.002	ok	
26	{"replicate":25}	-0.002124	0.002	ok	
27	{"replicate":26}	-0.002761	0.002	ok	
28	{"replicate":27}	-0.001438	0.002	ok	
29	{"replicate":28}	-0.003409	0.002	ok	
30	{"replicate":29}	-0.002771	0.002	ok	
31	{"replicate":30}	-0.001193	0.002	ok	
32	{"replicate":31}	0.000259	0.002	ok	
33	{"replicate":32}	-0.002769	0.002	ok	
34	{"replicate":33}	-0.003056	0.002	ok	
35	{"replicate":34}	-0.002668	0.002	ok	
36	{"replicate":35}	-0.000029	0.002	ok	
37	{"replicate":36}	-0.001494	0.002	ok	
38	{"replicate":37}	-0.001116	0.002	ok	
39	{"replicate":38}	0.001115	0.002	ok	
40	{"replicate":39}	-0.001199	0.002	ok	
41	{"replicate":40}	0.001197	0.002	ok	
42	{"replicate":41}	-0.001335	0.002	ok	
43	{"replicate":42}	-0.002986	0.002	ok	
44	{"replicate":43}	0.000041	0.002	ok	
45	{"replicate":44}	-0.001971	0.002	ok	
46	{"replicate":45}	-0.000961	0.002	ok	
47	{"replicate":46}	-0.002894	0.002	ok	
48	{"replicate":47}	-0.000941	0.002	ok	
49	{"replicate":48}	0.000116	0.002	ok	
50	{"replicate":49}	-0.001551	0.002	ok	
51	{"replicate":50}	-0.001198	0.002	ok	
52	{"replicate":51}	-0.002827	0.002	ok	
53	{"replicate":52}	-0.001460	0.002	ok	
54	{"replicate":53}	-0.000660	0.002	ok	
55	{"replicate":54}	-0.000745	0.002	ok	
56	{"replicate":55}	-0.002321	0.002	ok	
57	{"replicate":56}	-0.000595	0.002	ok	
58	{"replicate":57}	-0.002634	0.002	ok	
59	{"replicate":58}	-0.002519	0.002	ok	
60	{"replicate":59}	-0.001916	0.002	ok	
61	{"replicate":60}	-0.000055	0.002	ok	
62	{"replicate":61}	-0.001025	0.002	ok	
63	{"replicate":62}	-0.000335	0.002	ok	
64	{"replicate":63}	-0.001889	0.002	ok	
65	{"replicate":64}	-0.000178	0.002	ok	
66	{"replicate":65}	-0.000522	0.002	ok	
67	{"replicate":66}	0.000383	0.002	ok	
68	{"replicate":67}	0.000199	0.002	ok	
69	{"replicate":68}	-0.000244	0.002	ok	
70	{"replicate":69}	-0.002794	0.002	ok	
71	{"replicate":70}	-0.003409	0.002	ok	
72	{"replicate":71}	-0.000816	0.002	ok	
73	{"replicate":72}	-0.002602	0.002	ok	
74	{"replicate":73}	-0.001052	0.002	ok	
75	{"replicate":74}	-0.001372	0.002	ok	
76	{"replicate":75}	-0.001220	0.002	ok	
77	{"replicate":76}	-0.003074	0.002	ok	
78	{"replicate":77}	-0.001815	0.002	ok	
79	{"replicate":78}	-0.001400	0.002	ok	
80	{"replicate":79}	-0.000769	0.002	ok	
81	{"replicate":80}	-0.001413	0.002	ok	
82	{"replicate":81}	-0.003420	0.002	ok	
83	{"replicate":82}	-0.000980	0.002	ok	
84	{"replicate":83}	-0.001362	0.002	ok	
85	{"replicate":84}	-0.001906	0.002	ok	
86	{"replicate":85}	0.000090	0.002	ok	
87	{"replicate":86}	-0.002282	0.002	ok	
88	{"replicate":87}	-0.003129	0.002	ok	
89	{"replicate":88}	-0.002856	0.002	ok	
90	{"replicate":89}	-0.000527	0.002	ok	
91	{"replicate":90}	-0.000982	0.002	ok	
92	{"replicate":91}	-0.000331	0.002	ok	
93	{"replicate":92}	-0.001317	0.002	ok	
94	{"replicate":93}	-0.000712	0.002	ok	
95	{"replicate":94}	-0.001031	0.002	ok	
96	{"replicate":95}	0.001101	0.002	ok	
97	{"replicate":96}	-0.000605	0.002	ok	
98	{"replicate":97}	-0.000098	0.002	ok	
99	{"replicate":98}	-0.003510	0.002	ok	
100	{"replicate":99}	-0.000198	0.002	ok	
101	{"replicate":100}	-0.002841	0.002	ok	
102	{"replicate":101}	-0.004141	0.002	ok	
103	{"replicate":102}	-0.000231	0.002	ok	
104	{"replicate":103}	-0.002009	0.002	ok	
105	{"replicate":104}	-0.001415	0.002	ok	
106	{"replicate":105}	0.000847	0.002	ok	
107	{"replicate":106}	-0.004193	0.002	ok	
108	{"replicate":107}	-0.002101	0.002	ok	
109	{"replicate":108}	-0.000900	0.002	ok	
110	{"replicate":109}	0.000550	0.002	ok	
111	{"replicate":110}	-0.001130	0.002	ok	
112	{"replicate":111}	-0.000594	0.002	ok	
113	{"replicate":112}	-0.001678	0.002	ok	
114	{"replicate":113}	-0.002193	0.002	ok	
115	{"replicate":114}	-0.002838	0.002	ok	
116	{"replicate":115}	-0.003350	0.002	ok	
117	{"replicate":116}	-0.001979	0.002	ok	
118	{"replicate":117}	-0.000537	0.002	ok	
119	{"replicate":118}	0.000554	0.002	ok	
120	{"replicate":119}	-0.002478	0.002	ok	
121	{"replicate":120}	-0.002417	0.002	ok	
122	{"replicate":121}	-0.002211	0.002	ok	
123	{"replicate":122}	-0.001989	0.002	ok	
124	{"replicate":123}	-0.001672	0.002	ok	
125	{"replicate":124}	-0.001681	0.002	ok	
126	{"replicate":125}	-0.003159	0.002	ok	
