trial	params_json	primary_metric	wall_seconds	status	error
1	{"replicate":0}	0.039672	138.213	ok	
2	{"replicate":1}	0.038153	0.002	ok	
3	{"replicate":2}	0.027203	0.002	ok	
4	{"replicate":3}	0.041529	0.002	ok	
5	{"replicate":4}	0.008156	0.002	ok	
6	{"replicate":5}	0.043889	0.002	ok	
7	{"replicate":6}	0.022376	0.002	ok	
8	{"replicate":7}	0.031798	0.002	ok	
9	{"replicate":8}	0.042879	0.002	ok	
10	{"replicate":9}	0.025865	0.002	ok	
11	{"replicate":10}	0.026468	0.002	ok	
12	{"replicate":11}	0.022738	0.002	ok	
13	{"replicate":12}	0.027666	0.002	ok	
14	{"replicate":13}	0.032670	0.002	ok	
15	{"replicate":14}	0.052924	0.002	ok	
16	{"replicate":15}	0.036912	0.002	ok	
17	{"replicate":16}	0.056767	0.002	ok	
18	{"replicate":17}	0.053580	0.002	ok	
19	{"replicate":18}	0.030424	0.002	ok	
20	{"replicate":19}	0.047991	0.002	ok	
21	{"replicate":20}	0.035576	0.002	ok	
22	{"replicate":21}	0.035407	0.002	ok	
23	{"replicate":22}	0.021088	0.002	ok	
24	{"replicate":23}	0.048537	0.002	ok	
25	{"replicate":24}	0.029858	0.002	ok	
26	{"replicate":25}	0.029605	0.002	ok	
27	{"replicate":26}	0.022820	0.002	ok	
28	{"replicate":27}	0.012576	0.002	ok	
29	{"replicate":28}	0.032271	0.002	ok	
30	{"replicate":29}	0.041764	0.002	ok	
31	{"replicate":30}	0.030189	0.002	ok	
32	{"replicate":31}	0.041220	0.002	ok	
33	{"replicate":32}	0.048424	0.002	ok	
34	{"replicate":33}	0.047664	0.002	ok	
35	{"replicate":34}	0.019433	0.002	ok	
36	{"replicate":35}	0.022617	0.002	ok	
37	{"replicate":36}	0.037527	0.002	ok	
38	{"replicate":37}	0.048931	0.002	ok	
39	{"replicate":38}	0.019932	0.002	ok	
40	{"replicate":39}	0.043237	0.002	ok	
41	{"replicate":40}	0.037288	0.002	ok	
42	{"replicate":41}	0.020249	0.002	ok	
43	{"replicate":42}	0.040921	0.002	ok	
44	{"replicate":43}	0.017608	0.002	ok	
45	{"replicate":44}	0.053076	0.002	ok	
46	{"replicate":45}	0.045093	0.002	ok	
47	{"replicate":46}	0.053767	0.002	ok	
48	{"replicate":47}	0.033173	0.002	ok	
49	{"replicate":48}	0.025307	0.002	ok	
50	{"replicate":49}	0.037270	0.002	ok	
51	{"replicate":50}	0.047743	0.002	ok	
52	{"replicate":51}	0.035631	0.002	ok	
53	{"replicate":52}	0.024554	0.002	ok	
54	{"replicate":53}	0.039504	0.002	ok	
55	{"replicate":54}	0.037106	0.002	ok	
56	{"replicate":55}	0.039762	0.002	ok	
57	{"replicate":56}	0.025956	0.002	ok	
58	{"replicate":57}	0.033091	0.002	ok	
59	{"replicate":58}	0.038948	0.002	ok	
60	{"replicate":59}	0.032488	0.002	ok	
61	{"replicate":60}	0.033238	0.002	ok	
62	{"replicate":61}	0.038998	0.002	ok	
63	{"replicate":62}	0.027734	0.002	ok	
64	{"replicate":63}	0.034556	0.002	ok	
65	{"replicate":64}	0.042412	0.002	ok	
66	{"replicate":65}	0.049453	0.002	ok	
67	{"replicate":66}	0.036658	0.002	ok	
68	{"replicate":67}	0.031790	0.002	ok	
69	{"replicate":68}	0.038289	0.002	ok	
70	{"replicate":69}	0.029795	0.002	ok	
71	{"replicate":70}	0.039757	0.002	ok	
72	{"replicate":71}	0.033776	0.002	ok	
73	{"replicate":72}	0.043172	0.002	ok	
74	{"replicate":73}	0.035693	0.002	ok	
75	{"replicate":74}	0.051867	0.002	ok	
76	{"replicate":75}	0.045231	0.002	ok	
77	{"replicate":76}	0.054396	0.002	ok	
78	{"replicate":77}	0.028647	0.002	ok	
79	{"replicate":78}	0.032935	0.002	ok	
80	{"replicate":79}	0.048265	0.002	ok	
81	{"replicate":80}	0.027281	0.002	ok	
82	{"replicate":81}	0.023878	0.002	ok	
83	{"replicate":82}	0.028672	0.002	ok	
84	{"replicate":83}	0.035943	0.002	ok	
85	{"replicate":84}	0.026165	0.002	ok	
86	{"replicate":85}	0.012622	0.002	ok	
87	{"replicate":86}	0.027210	0.002	ok	
88	{"replicate":87}	0.018461	0.002	ok	
89	{"replicate":88}	0.046095	0.002	ok	
90	{"replicate":89}	0.049891	0.002	ok	
91	{"replicate":90}	0.037995	0.002	ok	
92	{"replicate":91}	0.019034	0.002	ok	
93	{"replicate":92}	0.046318	0.002	ok	
94	{"replicate":93}	0.022355	0.002	ok	
95	{"replicate":94}	0.045216	0.002	ok	
96	{"replicate":95}	0.018676	0.002	ok	
97	{"replicate":96}	0.024926	0.002	ok	
98	{"replicate":97}	0.019829	0.002	ok	
99	{"replicate":98}	0.036031	0.002	ok	
100	{"replicate":99}	0.033437	0.002	ok	
101	{"replicate":100}	0.030617	0.002	ok	
102	{"replicate":101}	0.029879	0.002	ok	
103	{"replicate":102}	0.044444	0.002	ok	
104	{"replicate":103}	0.055099	0.002	ok	
105	{"replicate":104}	0.020969	0.002	ok	
106	{"replicate":105}	0.039776	0.002	ok	
107	{"replicate":106}	0.041332	0.002	ok	
108	{"replicate":107}	0.021904	0.002	ok	
109	{"replicate":108}	0.037251	0.002	ok	
110	{"replicate":109}	0.043973	0.002	ok	
111	{"replicate":110}	0.034406	0.002	ok	
112	{"replicate":111}	0.020155	0.002	ok	
113	{"replicate":112}	0.051516	0.002	ok	
114	{"replicate":113}	0.053033	0.002	ok	
115	{"replicate":114}	0.037494	0.002	ok	
