trial	params_json	primary_metric	wall_seconds	status	error
1	{"replicate":0}	0.004249	132.688	ok	
2	{"replicate":1}	0.009173	0.002	ok	
3	{"replicate":2}	0.003490	0.002	ok	
4	{"replicate":3}	0.005581	0.002	ok	
5	{"replicate":4}	-0.001322	0.002	ok	
6	{"replicate":5}	-0.008869	0.002	ok	
7	{"replicate":6}	0.015031	0.002	ok	
8	{"replicate":7}	0.014664	0.002	ok	
9	{"replicate":8}	0.015646	0.002	ok	
10	{"replicate":9}	0.002089	0.002	ok	
11	{"replicate":10}	0.013363	0.002	ok	
12	{"replicate":11}	0.022663	0.002	ok	
13	{"replicate":12}	0.012003	0.002	ok	
14	{"replicate":13}	0.009543	0.002	ok	
15	{"replicate":14}	0.025916	0.002	ok	
16	{"replicate":15}	0.021759	0.002	ok	
17	{"replicate":16}	0.025228	0.002	ok	
18	{"replicate":17}	0.005314	0.002	ok	
19	{"replicate":18}	-0.001465	0.002	ok	
20	{"replicate":19}	0.010371	0.002	ok	
21	{"replicate":20}	0.002704	0.002	ok	
22	{"replicate":21}	0.015787	0.002	ok	
23	{"replicate":22}	0.013570	0.002	ok	
24	{"replicate":23}	0.036783	0.002	ok	
25	{"replicate":24}	0.017666	0.002	ok	
26	{"replicate":25}	0.029135	0.002	ok	
27	{"replicate":26}	0.020966	0.002	ok	
28	{"replicate":27}	0.000090	0.002	ok	
29	{"replicate":28}	0.024752	0.002	ok	
30	{"replicate":29}	0.005431	0.002	ok	
31	{"replicate":30}	0.011685	0.002	ok	
32	{"replicate":31}	0.018463	0.002	ok	
33	{"replicate":32}	0.022687	0.002	ok	
34	{"replicate":33}	-0.006251	0.002	ok	
35	{"replicate":34}	0.022554	0.002	ok	
36	{"replicate":35}	0.005296	0.002	ok	
37	{"replicate":36}	0.005401	0.002	ok	
38	{"replicate":37}	0.026433	0.002	ok	
39	{"replicate":38}	0.020680	0.002	ok	
40	{"replicate":39}	0.027618	0.002	ok	
41	{"replicate":40}	0.026039	0.002	ok	
42	{"replicate":41}	0.020625	0.002	ok	
43	{"replicate":42}	0.040316	0.002	ok	
44	{"replicate":43}	0.005447	0.002	ok	
45	{"replicate":44}	0.007064	0.002	ok	
46	{"replicate":45}	0.020186	0.002	ok	
47	{"replicate":46}	0.011725	0.002	ok	
48	{"replicate":47}	0.010184	0.002	ok	
49	{"replicate":48}	0.026545	0.002	ok	
50	{"replicate":49}	0.002846	0.002	ok	
51	{"replicate":50}	0.026359	0.002	ok	
52	{"replicate":51}	0.007558	0.002	ok	
53	{"replicate":52}	0.014932	0.002	ok	
54	{"replicate":53}	0.026948	0.002	ok	
55	{"replicate":54}	0.000405	0.002	ok	
56	{"replicate":55}	0.020699	0.002	ok	
57	{"replicate":56}	0.018500	0.002	ok	
58	{"replicate":57}	0.020077	0.002	ok	
59	{"replicate":58}	0.014983	0.002	ok	
60	{"replicate":59}	0.027484	0.002	ok	
61	{"replicate":60}	0.006080	0.002	ok	
62	{"replicate":61}	0.027806	0.002	ok	
63	{"replicate":62}	0.012357	0.002	ok	
64	{"replicate":63}	0.016809	0.002	ok	
65	{"replicate":64}	0.009230	0.002	ok	
66	{"replicate":65}	0.007532	0.002	ok	
67	{"replicate":66}	0.009457	0.002	ok	
68	{"replicate":67}	0.016079	0.002	ok	
69	{"replicate":68}	-0.004204	0.002	ok	
70	{"replicate":69}	0.016703	0.002	ok	
71	{"replicate":70}	0.005845	0.002	ok	
72	{"replicate":71}	0.018155	0.002	ok	
73	{"replicate":72}	0.023557	0.002	ok	
74	{"replicate":73}	0.019625	0.002	ok	
75	{"replicate":74}	0.019651	0.002	ok	
76	{"replicate":75}	0.011216	0.002	ok	
77	{"replicate":76}	0.026236	0.002	ok	
78	{"replicate":77}	0.005009	0.002	ok	
79	{"replicate":78}	0.011657	0.002	ok	
80	{"replicate":79}	0.014348	0.002	ok	
81	{"replicate":80}	0.011623	0.002	ok	
82	{"replicate":81}	0.011336	0.002	ok	
83	{"replicate":82}	0.001307	0.002	ok	
84	{"replicate":83}	0.020777	0.002	ok	
85	{"replicate":84}	0.016928	0.002	ok	
86	{"replicate":85}	-0.002078	0.002	ok	
87	{"replicate":86}	0.023517	0.002	ok	
88	{"replicate":87}	0.023408	0.002	ok	
89	{"replicate":88}	0.031631	0.002	ok	
90	{"replicate":89}	0.022071	0.002	ok	
91	{"replicate":90}	0.020660	0.002	ok	
92	{"replicate":91}	0.012625	0.002	ok	
93	{"replicate":92}	0.015425	0.002	ok	
94	{"replicate":93}	-0.002130	0.002	ok	
95	{"replicate":94}	0.024933	0.002	ok	
96	{"replicate":95}	0.002122	0.002	ok	
97	{"replicate":96}	0.016306	0.002	ok	
98	{"replicate":97}	0.020552	0.002	ok	
99	{"replicate":98}	0.016745	0.002	ok	
100	{"replicate":99}	0.011866	0.002	ok	
101	{"replicate":100}	0.021766	0.002	ok	
102	{"replicate":101}	0.028734	0.002	ok	
103	{"replicate":102}	0.019520	0.002	ok	
104	{"replicate":103}	0.014044	0.002	ok	
105	{"replicate":104}	0.008666	0.002	ok	
106	{"replicate":105}	0.005382	0.002	ok	
107	{"replicate":106}	0.012654	0.002	ok	
108	{"replicate":107}	0.004422	0.002	ok	
109	{"replicate":108}	0.010730	0.002	ok	
110	{"replicate":109}	0.007874	0.002	ok	
111	{"replicate":110}	0.020965	0.002	ok	
112	{"replicate":111}	0.023091	0.002	ok	
113	{"replicate":112}	0.005762	0.002	ok	
114	{"replicate":113}	0.015193	0.002	ok	
115	{"replicate":114}	0.007660	0.002	ok	
116	{"replicate":115}	0.021836	0.002	ok	
117	{"replicate":116}	0.009425	0.002	ok	
118	{"replicate":117}	0.002783	0.002	ok	
119	{"replicate":118}	0.018761	0.002	ok	
120	{"replicate":119}	0.006079	0.002	ok	
121	{"replicate":120}	0.016693	0.002	ok	
122	{"replicate":121}	0.015069	0.002	ok	
123	{"replicate":122}	0.021769	0.002	ok	
124	{"replicate":123}	0.020431	0.002	ok	
125	{"replicate":124}	-0.009535	0.002	ok	
126	{"replicate":125}	0.000670	0.002	ok	
127	{"replicate":126}	0.013518	0.002	ok	
128	{"replicate":127}	0.006327	0.002	ok	
129	{"replicate":128}	0.015238	0.002	ok	
130	{"replicate":129}	0.024428	0.002	ok	
131	{"replicate":130}	0.010766	0.002	ok	
132	{"replicate":131}	0.027500	0.002	ok	
133	{"replicate":132}	0.021849	0.002	ok	
134	{"replicate":133}	0.010557	0.002	ok	
135	{"replicate":134}	0.026550	0.002	ok	
136	{"replicate":135}	0.009431	0.002	ok	
137	{"replicate":136}	0.007451	0.002	ok	
