trial	params_json	primary_metric	wall_seconds	status	error
1	{"replicate":0}	0.043921	2.500	ok	
2	{"replicate":1}	0.047325	0.002	ok	
3	{"replicate":2}	0.030693	0.002	ok	
4	{"replicate":3}	0.047110	0.002	ok	
5	{"replicate":4}	0.006834	0.002	ok	
6	{"replicate":5}	0.035021	0.002	ok	
7	{"replicate":6}	0.037407	0.002	ok	
8	{"replicate":7}	0.046462	0.002	ok	
9	{"replicate":8}	0.058525	0.002	ok	
10	{"replicate":9}	0.027954	0.002	ok	
11	{"replicate":10}	0.039832	0.002	ok	
12	{"replicate":11}	0.045401	0.002	ok	
13	{"replicate":12}	0.039669	0.002	ok	
14	{"replicate":13}	0.042213	0.002	ok	
15	{"replicate":14}	0.078840	0.002	ok	
16	{"replicate":15}	0.058671	0.002	ok	
17	{"replicate":16}	0.081995	0.002	ok	
18	{"replicate":17}	0.058894	0.002	ok	
19	{"replicate":18}	0.028959	0.002	ok	
20	{"replicate":19}	0.058362	0.002	ok	
21	{"replicate":20}	0.038281	0.002	ok	
22	{"replicate":21}	0.051194	0.002	ok	
23	{"replicate":22}	0.034658	0.002	ok	
24	{"replicate":23}	0.085319	0.002	ok	
25	{"replicate":24}	0.047525	0.002	ok	
26	{"replicate":25}	0.058740	0.002	ok	
27	{"replicate":26}	0.043786	0.002	ok	
28	{"replicate":27}	0.012666	0.002	ok	
29	{"replicate":28}	0.057023	0.002	ok	
30	{"replicate":29}	0.047194	0.002	ok	
31	{"replicate":30}	0.041874	0.002	ok	
32	{"replicate":31}	0.059683	0.002	ok	
33	{"replicate":32}	0.071111	0.002	ok	
34	{"replicate":33}	0.041413	0.002	ok	
35	{"replicate":34}	0.041986	0.002	ok	
36	{"replicate":35}	0.027913	0.002	ok	
37	{"replicate":36}	0.042928	0.002	ok	
38	{"replicate":37}	0.075364	0.002	ok	
39	{"replicate":38}	0.040612	0.002	ok	
40	{"replicate":39}	0.070855	0.002	ok	
41	{"replicate":40}	0.063328	0.002	ok	
42	{"replicate":41}	0.040874	0.002	ok	
43	{"replicate":42}	0.081238	0.002	ok	
44	{"replicate":43}	0.023055	0.002	ok	
45	{"replicate":44}	0.060140	0.002	ok	
46	{"replicate":45}	0.065278	0.002	ok	
47	{"replicate":46}	0.065491	0.002	ok	
48	{"replicate":47}	0.043357	0.002	ok	
49	{"replicate":48}	0.051852	0.002	ok	
50	{"replicate":49}	0.040116	0.002	ok	
51	{"replicate":50}	0.074101	0.002	ok	
52	{"replicate":51}	0.043189	0.002	ok	
53	{"replicate":52}	0.039486	0.002	ok	
54	{"replicate":53}	0.066452	0.002	ok	
55	{"replicate":54}	0.037511	0.002	ok	
56	{"replicate":55}	0.060461	0.002	ok	
57	{"replicate":56}	0.044456	0.002	ok	
58	{"replicate":57}	0.053168	0.002	ok	
59	{"replicate":58}	0.053932	0.002	ok	
60	{"replicate":59}	0.059972	0.002	ok	
61	{"replicate":60}	0.039318	0.002	ok	
62	{"replicate":61}	0.066804	0.002	ok	
63	{"replicate":62}	0.040091	0.002	ok	
64	{"replicate":63}	0.051365	0.002	ok	
65	{"replicate":64}	0.051642	0.002	ok	
66	{"replicate":65}	0.056985	0.002	ok	
67	{"replicate":66}	0.046115	0.002	ok	
68	{"replicate":67}	0.047868	0.002	ok	
69	{"replicate":68}	0.034084	0.002	ok	
70	{"replicate":69}	0.046498	0.002	ok	
71	{"replicate":70}	0.045602	0.002	ok	
72	{"replicate":71}	0.051931	0.002	ok	
73	{"replicate":72}	0.066729	0.002	ok	
74	{"replicate":73}	0.055318	0.002	ok	
75	{"replicate":74}	0.071518	0.002	ok	
76	{"replicate":75}	0.056447	0.002	ok	
77	{"replicate":76}	0.080632	0.002	ok	
78	{"replicate":77}	0.033656	0.002	ok	
79	{"replicate":78}	0.044592	0.002	ok	
80	{"replicate":79}	0.062613	0.002	ok	
81	{"replicate":80}	0.038905	0.002	ok	
82	{"replicate":81}	0.035214	0.002	ok	
83	{"replicate":82}	0.029979	0.002	ok	
84	{"replicate":83}	0.056720	0.002	ok	
85	{"replicate":84}	0.043093	0.002	ok	
86	{"replicate":85}	0.010544	0.002	ok	
87	{"replicate":86}	0.050728	0.002	ok	
88	{"replicate":87}	0.041870	0.002	ok	
89	{"replicate":88}	0.077726	0.002	ok	
90	{"replicate":89}	0.071962	0.002	ok	
91	{"replicate":90}	0.058655	0.002	ok	
92	{"replicate":91}	0.031659	0.002	ok	
93	{"replicate":92}	0.061743	0.002	ok	
94	{"replicate":93}	0.020225	0.002	ok	
95	{"replicate":94}	0.070148	0.002	ok	
96	{"replicate":95}	0.020798	0.002	ok	
97	{"replicate":96}	0.041232	0.002	ok	
98	{"replicate":97}	0.040381	0.002	ok	
99	{"replicate":98}	0.052775	0.002	ok	
100	{"replicate":99}	0.045303	0.002	ok	
101	{"replicate":100}	0.052382	0.002	ok	
102	{"replicate":101}	0.058612	0.002	ok	
103	{"replicate":102}	0.063965	0.002	ok	
104	{"replicate":103}	0.069142	0.002	ok	
105	{"replicate":104}	0.029635	0.002	ok	
106	{"replicate":105}	0.045158	0.002	ok	
107	{"replicate":106}	0.053985	0.002	ok	
108	{"replicate":107}	0.026326	0.002	ok	
109	{"replicate":108}	0.047981	0.002	ok	
110	{"replicate":109}	0.051847	0.002	ok	
111	{"replicate":110}	0.055372	0.002	ok	
112	{"replicate":111}	0.043247	0.002	ok	
113	{"replicate":112}	0.057277	0.002	ok	
114	{"replicate":113}	0.068227	0.002	ok	
115	{"replicate":114}	0.045155	0.002	ok	
116	{"replicate":115}	0.054700	0.002	ok	
117	{"replicate":116}	0.047406	0.002	ok	
118	{"replicate":117}	0.037835	0.002	ok	
119	{"replicate":118}	0.064410	0.002	ok	
120	{"replicate":119}	0.043498	0.002	ok	
121	{"replicate":120}	0.044021	0.002	ok	
122	{"replicate":121}	0.041692	0.002	ok	
123	{"replicate":122}	0.059568	0.002	ok	
124	{"replicate":123}	0.043750	0.002	ok	
125	{"replicate":124}	0.022629	0.002	ok	
126	{"replicate":125}	0.027546	0.002	ok	
127	{"replicate":126}	0.046679	0.002	ok	
128	{"replicate":127}	0.036814	0.002	ok	
129	{"replicate":128}	0.044641	0.002	ok	
130	{"replicate":129}	0.061386	0.002	ok	
131	{"replicate":130}	0.062345	0.002	ok	
132	{"replicate":131}	0.067588	0.002	ok	
133	{"replicate":132}	0.044504	0.002	ok	
134	{"replicate":133}	0.049684	0.002	ok	
135	{"replicate":134}	0.080358	0.002	ok	
136	{"replicate":135}	0.041008	0.002	ok	
137	{"replicate":136}	0.034051	0.002	ok	
138	{"replicate":137}	0.052078	0.002	ok	
139	{"replicate":138}	0.058282	0.002	ok	
140	{"replicate":139}	0.056616	0.002	ok	
141	{"replicate":140}	0.013936	0.002	ok	
142	{"replicate":141}	0.066850	0.002	ok	
143	{"replicate":142}	0.043733	0.002	ok	
144	{"replicate":143}	0.036549	0.002	ok	
145	{"replicate":144}	0.046892	0.002	ok	
146	{"replicate":145}	0.055307	0.002	ok	
147	{"replicate":146}	0.045305	0.002	ok	
148	{"replicate":147}	0.066587	0.002	ok	
149	{"replicate":148}	0.028321	0.002	ok	
150	{"replicate":149}	0.056072	0.002	ok	
151	{"replicate":150}	0.047806	0.002	ok	
152	{"replicate":151}	0.051262	0.002	ok	
153	{"replicate":152}	0.027705	0.002	ok	
154	{"replicate":153}	0.034870	0.002	ok	
155	{"replicate":154}	0.048157	0.002	ok	
156	{"replicate":155}	0.082847	0.002	ok	
157	{"replicate":156}	0.055387	0.002	ok	
158	{"replicate":157}	0.061617	0.002	ok	
159	{"replicate":158}	0.039143	0.002	ok	
160	{"replicate":159}	0.060427	0.002	ok	
161	{"replicate":160}	0.065521	0.002	ok	
162	{"replicate":161}	0.035689	0.002	ok	
163	{"replicate":162}	0.055736	0.002	ok	
164	{"replicate":163}	0.044872	0.002	ok	
165	{"replicate":164}	0.049448	0.002	ok	
166	{"replicate":165}	0.043297	0.002	ok	
167	{"replicate":166}	0.062807	0.002	ok	
168	{"replicate":167}	0.059394	0.002	ok	
169	{"replicate":168}	0.046267	0.002	ok	
170	{"replicate":169}	0.039454	0.002	ok	
171	{"replicate":170}	0.052971	0.002	ok	
172	{"replicate":171}	0.061056	0.002	ok	
173	{"replicate":172}	0.052278	0.002	ok	
174	{"replicate":173}	0.060559	0.002	ok	
175	{"replicate":174}	0.025530	0.002	ok	
176	{"replicate":175}	0.053796	0.002	ok	
177	{"replicate":176}	0.039122	0.002	ok	
178	{"replicate":177}	0.065301	0.002	ok	
179	{"replicate":178}	0.069650	0.002	ok	
180	{"replicate":179}	0.066393	0.002	ok	
181	{"replicate":180}	0.035939	0.002	ok	
182	{"replicate":181}	0.035832	0.002	ok	
183	{"replicate":182}	0.051727	0.002	ok	
184	{"replicate":183}	0.046248	0.002	ok	
185	{"replicate":184}	0.061719	0.002	ok	
186	{"replicate":185}	0.068860	0.002	ok	
187	{"replicate":186}	0.055856	0.002	ok	
188	{"replicate":187}	0.020975	0.002	ok	
189	{"replicate":188}	0.053392	0.002	ok	
190	{"replicate":189}	0.043801	0.002	ok	
191	{"replicate":190}	0.058470	0.002	ok	
192	{"replicate":191}	0.048218	0.002	ok	
