recipe	step	val_nats_per_char	val_bits_per_char
anchor	25	2.554728	3.685694
anchor	50	2.513893	3.626781
anchor	100	2.490666	3.593271
anchor	150	2.442292	3.523483
anchor	200	2.401542	3.464692
anchor	300	2.149704	3.101367
anchor	400	1.968522	2.839977
anchor	500	1.859768	2.683079
anchor	600	1.80312	2.601352
anchor	800	1.713984	2.472756
anchor	1000	1.664094	2.40078
anchor	1200	1.641277	2.367862
anchor	1400	1.607966	2.319805
anchor	1600	1.590216	2.294197
anchor	1800	1.571317	2.266932
anchor	2000	1.563815	2.256109
cosine	25	2.554732	3.685699
cosine	50	2.513885	3.62677
cosine	100	2.490539	3.593088
cosine	150	2.441695	3.522622
cosine	200	2.40105	3.463982
cosine	300	2.142786	3.091387
cosine	400	1.945715	2.807073
cosine	500	1.843604	2.659758
cosine	600	1.77927	2.566943
cosine	800	1.693206	2.44278
cosine	1000	1.635365	2.359333
cosine	1200	1.601873	2.311014
cosine	1400	1.564731	2.25743
cosine	1600	1.54057	2.222572
cosine	1800	1.530476	2.20801
cosine	2000	1.518369	2.190544
