quantity	value
headroom_h_at_incumbent	101.609697
incumbent_gain_nats	0.052855
incumbent_gain_floors	3.53486
sealed_minus_dev_nats	0.046961
sealed_minus_dev_floors	3.140679
warmup_on_cosine_minus_incumbent_nats	0.001548
warmup_on_cosine_minus_incumbent_floors	0.103528
anchor_below_unigram_nats	1.738114
anchor_below_uniform_nats	2.605237
incumbent_below_unigram_nats	1.787945
tying_params_removed	8320.0
tying_params_share_percent	1.009317
width_params_ratio	3.908075
max_verifier_gap_nats	0.0
replication_difference_nats	0.000962
replication_difference_in_fit_noise_std	0.119808
replication_tolerance_nats	0.014953
verify_only_records	2.0
