experiment	metric	value
E0001	ci_low	0.9999999999999999
E0001	ci_high	1.0
E0001	n	25
E0001	wall_seconds	0.8038091659545898
E0001	raw_rows	100
E0001	raw_versicolor	50
E0001	raw_virginica	50
E0001	raw_features	4
E0001	partition_sum_matches	1
E0001	val_accuracy	0.96
E0001	val_errors	1
E0001	val_rows	25
E0001	ci_width	0.0
E0001	n_boot	2000
E0002	val_auc	1.0
E0002	val_pr_auc	0.9999999999999999
E0002	val_logloss	0.061537201954644634
E0002	val_brier	0.017481848172273575
E0002	val_lift_top10	2.0833333333333335
E0002	val_best_threshold	0.02
E0002	val_f1_at_best	1.0
E0002	wall_seconds	0.028142213821411133
E0002	min_proba_std	0.463437895488604
E0002	proba_range	0.9999875171568359
E0002	proba_unique_values	25
E0002	model_path	models/best_modern_E0002_1_c87259d993cc.joblib
E0002	reference_metric	1.0
E0002	delta_vs_reference	0.0
E0002	val_accuracy	0.96
E0002	val_errors	1
E0003	val_auc	1.0
E0003	val_pr_auc	0.9999999999999999
E0003	val_logloss	0.156643308440953
E0003	val_brier	0.04031886893788017
E0003	val_lift_top10	2.0833333333333335
E0003	val_best_threshold	0.21000000000000002
E0003	val_f1_at_best	1.0
E0003	wall_seconds	0.03147125244140625
E0003	min_proba_std	0.39512940441694555
E0003	proba_range	0.9901101258262422
E0003	proba_unique_values	25
E0003	reference_metric	1.0
E0003	delta_vs_reference	0.0
E0003	val_accuracy	0.96
E0003	val_errors	1
E0004	val_auc	0.9903846153846154
E0004	val_pr_auc	0.9880952380952381
E0004	val_logloss	0.1728868424576278
E0004	val_brier	0.056000000000000015
E0004	val_lift_top10	2.0833333333333335
E0004	val_best_threshold	0.4
E0004	val_f1_at_best	0.9565217391304348
E0004	wall_seconds	0.030778169631958008
E0004	min_proba_std	0.4213502106324382
E0004	proba_range	1.0
E0004	proba_unique_values	6
E0004	reference_metric	1.0
E0004	delta_vs_reference	-0.009615
E0004	val_accuracy	0.96
E0004	val_errors	1
E0005	val_auc	1.0
E0005	val_pr_auc	0.9999999999999999
E0005	val_logloss	0.1162572200594409
E0005	val_brier	0.025616230176380674
E0005	val_lift_top10	2.0833333333333335
E0005	val_best_threshold	0.15000000000000002
E0005	val_f1_at_best	1.0
E0005	wall_seconds	0.03071427345275879
E0005	min_proba_std	0.4200699363680059
E0005	proba_range	0.9786156891050619
E0005	proba_unique_values	25
E0005	reference_metric	1.0
E0005	delta_vs_reference	0.0
E0005	val_accuracy	0.96
E0005	val_errors	1
E0006	val_auc	0.9999999999999999
E0006	val_pr_auc	1.0
E0006	val_logloss	0.012826568779527965
E0006	val_brier	0.0009448669133435659
E0006	val_lift_top10	2.0833333333333335
E0006	val_best_threshold	0.12
E0006	val_f1_at_best	1.0
E0006	wall_seconds	0.13771390914916992
E0006	min_proba_std	0.4881203584618579
E0006	proba_range	0.999954389501236
E0006	proba_unique_values	11
E0006	reference_metric	1.0
E0006	delta_vs_reference	-0.0
E0006	val_accuracy	1.0
E0006	val_errors	0
E0007	val_auc	1.0
E0007	val_pr_auc	1.0
E0007	val_logloss	0.12893854426299092
E0007	val_brier	0.03850823273537709
E0007	val_lift_top10	2.0833333333333335
E0007	val_best_threshold	0.13
E0007	val_f1_at_best	1.0
E0007	wall_seconds	0.029417991638183594
E0007	min_proba_std	0.4418404924547973
E0007	proba_range	0.9999686586566418
E0007	proba_unique_values	24
E0007	model_path	models/best_ablation_E0007_1_ef19503896ca.joblib
E0007	reference_metric	1.0
E0007	delta_vs_reference	0.0
E0007	delta_in_floors	0.0
E0008	val_auc	0.8141025641025641
E0008	val_pr_auc	0.7663752913752914
E0008	val_logloss	0.5380963574851028
E0008	val_brier	0.18538321693668164
E0008	val_lift_top10	2.0833333333333335
E0008	val_best_threshold	0.3
E0008	val_f1_at_best	0.8461538461538461
E0008	wall_seconds	0.02971196174621582
E0008	min_proba_std	0.20676415565152548
E0008	proba_range	0.8076488632168566
E0008	proba_unique_values	25
E0008	reference_metric	1.0
E0008	delta_vs_reference	-0.185897
E0008	delta_in_floors	-0.661
E0009	val_auc	1.0
E0009	val_pr_auc	1.0
E0009	val_logloss	0.011550709701006866
E0009	val_brier	0.00039940115672097113
E0009	val_lift_top10	2.0833333333333335
E0009	val_best_threshold	0.02
E0009	val_f1_at_best	1.0
E0009	wall_seconds	0.22147512435913086
E0009	min_proba_std	0.48832720577739097
E0009	proba_range	0.9942505318525025
E0009	proba_unique_values	6
E0009	reference_metric	1.0
E0009	delta_vs_reference	0.0
E0009	delta_in_floors	0.0
E0010	ci_low	0.9999999999999999
E0010	ci_high	1.0
E0010	n	25
E0010	wall_seconds	0.7872509956359863
E0010	raw_rows	100
E0010	raw_versicolor	50
E0010	raw_virginica	50
E0010	raw_features	4
E0010	partition_sum_matches	1
E0010	val_accuracy	0.92
E0010	val_errors	2
E0010	val_rows	25
E0010	ci_width	0.0
E0010	n_boot	2000
E0011	val_auc	0.9871794871794872
E0011	val_pr_auc	0.9897435897435898
E0011	val_logloss	0.7507983507264697
E0011	val_brier	0.11899373712475855
E0011	val_lift_top10	1.923076923076923
E0011	val_best_threshold	0.01
E0011	val_f1_at_best	0.9285714285714286
E0011	wall_seconds	0.29235291481018066
E0011	min_proba_std	0.495588782211093
E0011	proba_range	0.9999869211348545
E0011	proba_unique_values	15
E0011	reference_metric	1.0
E0011	delta_vs_reference	-0.012821
E0011	val_accuracy	0.88
E0011	val_errors	3
DRYRUN	val_auc	1.0
DRYRUN	val_pr_auc	1.0
DRYRUN	val_logloss	0.12893854426299092
DRYRUN	val_brier	0.03850823273537709
DRYRUN	val_lift_top10	2.0833333333333335
