trial	params_json	primary_metric	wall_seconds	status	error
1	{"boot_idx":1}	-0.160256	0.001	ok	
2	{"boot_idx":2}	-0.273333	0.001	ok	
3	{"boot_idx":3}	-0.120000	0.001	ok	
4	{"boot_idx":4}	-0.217949	0.001	ok	
5	{"boot_idx":5}	-0.324675	0.001	ok	
6	{"boot_idx":6}	-0.198529	0.001	ok	
7	{"boot_idx":7}	-0.140000	0.001	ok	
8	{"boot_idx":8}	-0.136364	0.001	ok	
9	{"boot_idx":9}	-0.285714	0.001	ok	
10	{"boot_idx":10}	-0.012821	0.001	ok	
11	{"boot_idx":11}	-0.131944	0.001	ok	
12	{"boot_idx":12}	-0.180556	0.001	ok	
13	{"boot_idx":13}	-0.185897	0.001	ok	
14	{"boot_idx":14}	-0.194805	0.001	ok	
15	{"boot_idx":15}	-0.019231	0.001	ok	
16	{"boot_idx":16}	-0.205882	0.001	ok	
17	{"boot_idx":17}	-0.161765	0.001	ok	
18	{"boot_idx":18}	-0.512821	0.001	ok	
19	{"boot_idx":19}	-0.073333	0.001	ok	
20	{"boot_idx":20}	-0.282051	0.001	ok	
21	{"boot_idx":21}	-0.012821	0.001	ok	
22	{"boot_idx":22}	0.000000	0.001	ok	
23	{"boot_idx":23}	-0.110390	0.001	ok	
24	{"boot_idx":24}	-0.173077	0.001	ok	
25	{"boot_idx":25}	-0.352564	0.001	ok	
26	{"boot_idx":26}	-0.224359	0.001	ok	
27	{"boot_idx":27}	-0.073333	0.001	ok	
28	{"boot_idx":28}	-0.220779	0.001	ok	
29	{"boot_idx":29}	-0.206349	0.001	ok	
30	{"boot_idx":30}	-0.242647	0.001	ok	
31	{"boot_idx":31}	-0.166667	0.001	ok	
32	{"boot_idx":32}	-0.324675	0.001	ok	
33	{"boot_idx":33}	-0.140000	0.001	ok	
34	{"boot_idx":34}	-0.396104	0.001	ok	
35	{"boot_idx":35}	-0.250000	0.001	ok	
36	{"boot_idx":36}	-0.198718	0.001	ok	
37	{"boot_idx":37}	-0.102564	0.001	ok	
38	{"boot_idx":38}	-0.205128	0.001	ok	
39	{"boot_idx":39}	-0.133333	0.001	ok	
40	{"boot_idx":40}	-0.365385	0.001	ok	
41	{"boot_idx":41}	-0.083333	0.001	ok	
42	{"boot_idx":42}	-0.366667	0.001	ok	
43	{"boot_idx":43}	-0.070175	0.001	ok	
44	{"boot_idx":44}	-0.097403	0.001	ok	
45	{"boot_idx":45}	-0.220000	0.001	ok	
46	{"boot_idx":46}	-0.166667	0.001	ok	
47	{"boot_idx":47}	-0.103896	0.001	ok	
48	{"boot_idx":48}	0.000000	0.001	ok	
49	{"boot_idx":49}	-0.173333	0.001	ok	
50	{"boot_idx":50}	-0.201299	0.001	ok	
51	{"boot_idx":51}	-0.045455	0.001	ok	
52	{"boot_idx":52}	0.000000	0.001	ok	
53	{"boot_idx":53}	-0.217949	0.001	ok	
54	{"boot_idx":54}	-0.279412	0.001	ok	
55	{"boot_idx":55}	-0.093333	0.001	ok	
56	{"boot_idx":56}	-0.280000	0.001	ok	
57	{"boot_idx":57}	0.000000	0.001	ok	
58	{"boot_idx":58}	-0.294118	0.001	ok	
59	{"boot_idx":59}	-0.206667	0.001	ok	
60	{"boot_idx":60}	-0.118056	0.001	ok	
61	{"boot_idx":61}	-0.205128	0.001	ok	
62	{"boot_idx":62}	-0.472222	0.001	ok	
63	{"boot_idx":63}	-0.083333	0.001	ok	
64	{"boot_idx":64}	0.000000	0.001	ok	
65	{"boot_idx":65}	-0.105263	0.001	ok	
66	{"boot_idx":66}	-0.240000	0.001	ok	
67	{"boot_idx":67}	-0.301471	0.001	ok	
68	{"boot_idx":68}	-0.227273	0.001	ok	
69	{"boot_idx":69}	-0.326923	0.001	ok	
70	{"boot_idx":70}	-0.198718	0.001	ok	
71	{"boot_idx":71}	-0.198529	0.001	ok	
72	{"boot_idx":72}	-0.129870	0.001	ok	
73	{"boot_idx":73}	-0.155844	0.001	ok	
74	{"boot_idx":74}	-0.220779	0.001	ok	
75	{"boot_idx":75}	-0.192308	0.001	ok	
76	{"boot_idx":76}	-0.185897	0.001	ok	
77	{"boot_idx":77}	-0.140000	0.001	ok	
78	{"boot_idx":78}	-0.240000	0.001	ok	
79	{"boot_idx":79}	-0.205128	0.001	ok	
80	{"boot_idx":80}	-0.288462	0.001	ok	
81	{"boot_idx":81}	-0.200000	0.001	ok	
82	{"boot_idx":82}	-0.134615	0.001	ok	
83	{"boot_idx":83}	-0.262821	0.001	ok	
84	{"boot_idx":84}	-0.286667	0.001	ok	
85	{"boot_idx":85}	-0.311688	0.001	ok	
86	{"boot_idx":86}	-0.147059	0.001	ok	
87	{"boot_idx":87}	-0.256410	0.001	ok	
88	{"boot_idx":88}	-0.192308	0.001	ok	
89	{"boot_idx":89}	-0.097403	0.001	ok	
90	{"boot_idx":90}	-0.110390	0.001	ok	
91	{"boot_idx":91}	-0.141026	0.001	ok	
92	{"boot_idx":92}	-0.217949	0.001	ok	
93	{"boot_idx":93}	-0.044872	0.001	ok	
94	{"boot_idx":94}	-0.077922	0.001	ok	
95	{"boot_idx":95}	-0.141026	0.001	ok	
96	{"boot_idx":96}	-0.286667	0.001	ok	
97	{"boot_idx":97}	-0.179487	0.001	ok	
98	{"boot_idx":98}	-0.115385	0.001	ok	
99	{"boot_idx":99}	-0.257353	0.002	ok	
100	{"boot_idx":100}	-0.226667	0.001	ok	
101	{"boot_idx":101}	-0.160000	0.001	ok	
102	{"boot_idx":102}	-0.138889	0.001	ok	
103	{"boot_idx":103}	-0.193333	0.001	ok	
104	{"boot_idx":104}	-0.235294	0.001	ok	
105	{"boot_idx":105}	-0.126667	0.001	ok	
106	{"boot_idx":106}	-0.100000	0.001	ok	
107	{"boot_idx":107}	-0.246753	0.001	ok	
108	{"boot_idx":108}	-0.288462	0.001	ok	
109	{"boot_idx":109}	-0.192308	0.001	ok	
110	{"boot_idx":110}	-0.455128	0.001	ok	
111	{"boot_idx":111}	-0.415584	0.001	ok	
112	{"boot_idx":112}	-0.140000	0.001	ok	
113	{"boot_idx":113}	-0.155844	0.001	ok	
114	{"boot_idx":114}	-0.314103	0.001	ok	
115	{"boot_idx":115}	-0.110390	0.001	ok	
116	{"boot_idx":116}	-0.115385	0.001	ok	
117	{"boot_idx":117}	-0.242647	0.001	ok	
118	{"boot_idx":118}	-0.181818	0.001	ok	
119	{"boot_idx":119}	-0.128205	0.001	ok	
120	{"boot_idx":120}	-0.160256	0.001	ok	
121	{"boot_idx":121}	-0.240000	0.001	ok	
122	{"boot_idx":122}	-0.147059	0.001	ok	
123	{"boot_idx":123}	-0.108974	0.001	ok	
124	{"boot_idx":124}	-0.400000	0.001	ok	
125	{"boot_idx":125}	-0.256410	0.001	ok	
126	{"boot_idx":126}	-0.071429	0.001	ok	
127	{"boot_idx":127}	0.000000	0.001	ok	
128	{"boot_idx":128}	-0.269231	0.001	ok	
129	{"boot_idx":129}	-0.166667	0.001	ok	
130	{"boot_idx":130}	-0.090278	0.001	ok	
131	{"boot_idx":131}	-0.262821	0.001	ok	
132	{"boot_idx":132}	-0.141026	0.001	ok	
133	{"boot_idx":133}	-0.307692	0.001	ok	
134	{"boot_idx":134}	-0.086667	0.001	ok	
135	{"boot_idx":135}	-0.123377	0.001	ok	
136	{"boot_idx":136}	-0.173077	0.001	ok	
137	{"boot_idx":137}	-0.272727	0.001	ok	
138	{"boot_idx":138}	-0.070513	0.001	ok	
139	{"boot_idx":139}	-0.207792	0.001	ok	
140	{"boot_idx":140}	-0.291667	0.001	ok	
141	{"boot_idx":141}	-0.141026	0.001	ok	
142	{"boot_idx":142}	-0.305556	0.001	ok	
